Artist,Song,Translated_Lyrics
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԵՐԲ ԻՄԱՍՏԱԶՈՒՐԿ Է ԼԻՆՈՒՄ,"When the days are nailed like a fly

To the yellow pages of your calendar

Months to month are pointless

Like the leaves of your life tree



When the strained clock spring

The ax is swing on your neck

The past is slowly meaningless

The present is also a numb of your foot



Life is meaningless meaningless

When it turns into an endless struggle

The struggle is also deviled

When it turns into a life meaning



The empty pedestal lost meaning

Waiting for the next idol sculpture

When a standing statue is failing

Time is always abling again



Street and garden are meaningless

To the back of the meaningless city

Homes are also meaningless

When it turns into a shelter



It has been meant to be meaningless

Born in Herastor Tours

Meaning has even been meaningless

It doesn't have a runner



Hands are idle meaningless

Became a sad Sunday every day

In the brain, they nail day by day

Reasons for the Probability without reason



My shipwrecking my boat

It's been a break on the shores of salvation again

When my children sleeping with the underground

Meanly waking up and look at me



Their eyes shimmering lights

The flesh of the ice is crushed

Inability to snatch bands

And my life is again meaningful"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԵՐԳԸ ԽՂՃԻ,"Fear When Your Heart Karuy

The wound has no conscience of cure

Day and nights to do

Before the path of the lifetime

You can't be sad too

Conscience for painful pain

Every drop of conscience

Kiyna hidden and impertle

Fear When your conscience spare

Military

And it will become a Lord and scribe

Life Bloody Each Pain

Having your eyes against your eyes

Should the sin of sin?

The troop should step hard

The overshadowed in the world

Fear when your face is always smiling

But the conscience of the Kariun's conscience

When will you share the bread of a person?

But blood will come to the bread"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԵՐԵԿ ԵՎ...,"Yesterday sad today happy

I applause like a channel

Yesterday to Unknown

I'm coming to the coast today



I smile silently small and big

Or laughing like crazy

I'm dedicated to the sands

Like the desert river



I'm devoted to unwavering

Me where the smiles take

Every passerby in my laughter

The tired soul is washing



Whenever a fog is tomorrow

And tears will be born of pain

Maybe one of the little sparkle

Back from my laughter



Yesterday sad today happy

I applause like a channel

Yesterday to Unknown

I'm coming to the coast today"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԵՐԿԻՐ ՀՆԱՄՅԱ,"Country ancient country native

No star bright and no moon

Your eternal charm don't have

Beyond the clouds beyond the mountains



No matter how much you are Suram from

No matter how many foreign lands

Vacant to the means of disordination

I slayed my native home



You first love and last longing

Memories boat happy and painful

I will always be on my lip

Maternal Kiss My Missing Sad



Country of Ancient Earth Papen

Your spirit of the spirit native language

Fear and longing for your spirit

What am I without you only homeless



Cloudy winter or bright spring

Tear Valley or Paradise

I will call you. I will call you

I will live in my house with you"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԶԱՐՄԱՆՈՒՄ ԵՄ ԵՍ,"I will be able to get pure water from the source

And then one moment clinging to the present I will be surprised

How it was all suddenly all of us changed

They say every dream and hope again



I wonder about a thousand doors in front of us

I wonder if we divide us

Wonder me and again I don't understand

And my head hangs all over my life I'm looking for my nation



I'm not surprised again the Burret of Tools

I wonder again from my people who endure

I wonder and I'm not afraid of a foreign enemy

The tabernacle was destroyed and long ago



During the plague, one is widespread

The output took the mask of their face ashamed

WILL BE CONSIDERED BY A BROUND WITHOUT BROUND

Condemning the remains of a luxurious burial



I wonder if the head lost from the re-

We are already in the past already watered

I wonder if nothing changes in this world

The wheel broke the wheel again in his favorite pit



I wonder if I am empty and idle something hopes

I wonder if I'm not surprised anything

Deaf and obedient evil from this great world

And from the roads leading to the abyss of the people"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԷԼ ՈՉ ՄԻ ՎԻՇՏ,"No mourning no mourning

No sorrow or in the blanks

No empty hope or prayer

Or crystal dream carefree

There were ages



Binds and sobs

Our old pain is enough to mourn

Full foolish consolation

I'm tired of



How many traces of emigration?

How many houses without smoke?

As a witness

Still outstanding our debts



How much prayer to unarmed vessel

And feats of individuals

Idle skulls

Without a body and an



There was only a mask of trust

Only shadow courage

And allegedly ended

The slap is strong in our history



This is the prayer of our century

This is the message of our tree

This gray crush

History and our soil



And the world has not changed

And they haven't changed to the sun

Look at your faces today

Look at your eyes today

I'm tired of



What was yesterday the same today

The same both is almighty

And split crumbs

A nation



Look at each other look into your

What is the powerful winner forever?

And what is the cross of faith?

Who is our father?



We are already enough to cheat each other

As long as you will not be late we are still

As long as the sword is adopted

On the way is still



No mourning no mourning

No sorrow or in the blanks

No empty hope or prayer

Or crystal dream carefree

There were ages"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԹՌԻՉՔ,"Tied with a tight pallas with your eyes

Hanging your hand to scales rusty

Like that your weights were stolen

Justice you are blind and scary

You are a statue that you judge my fortune

You are my heart hands the woles

Licking and dusty volumes

Where all my sins have written

And the caliber is a bullet



I mourned the old and new idols my

You won't see me scare kneeling

My life has already imprisoned me life

You won't be afraid of the highest article

You are a statue that you judge my fortune

You are my heart hands the woles

Licking and dusty volumes

Where all my sins have written

And the caliber is a bullet



Semi-flying in my dream

And silent troper of lights

What I didn't understand today

What a star I don't

And what a fairy tale that I didn't live

At all without alarms

I handed over to the next life



Wings I sewed my body to my body

I approached I edged into your fortress enclosure

And I looked at the sky with a silent smile

Screaming stop you'll go on a bird leap"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԻՄ ՏԱՐԻՆԵՐԸ,"My years of dry crutch

Blank sounds on the streets

How can I get to you?

My hot vein my childhood

When the years delete me



Close or old or new

Clean was love my first

A passioned passion for a new longing

That approached with his lips

That unclean only cross



I tasted and wean and mourning

And blinded with his glitter

Crowd of people

And losses both old or new

And begging for my homeland



Here is standing in front of me

I have seen it or hear that

Out of Death Mask

Oh approaching cries

And new shades of old lie



White Dream White Eyes

Grumbling

White dry white ship

Thirst for unrealistic life

And time stopped



White mountain against my eyes

And our way to white vision

And our glance

And unaware hearts of free

Like stone pour down



Melodic language cut

Oh vision is dead and alive

Found me in that darkness

I took me out of the night

Broaded throat my friend



He touched like a blind

His song is silent and life short

He was just a word to me whispered to me

So half and heart hang

I turned around but he wasn't"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԽԱՉՄԵՐՈՒԿ,"Lost goes away from each of our violins

You need a band where drums possess

Where every melody blows only the brass

When there are no wire voices they are soloists



You will not forgive you that you didn't decide never your will

Didn't you have left and left anticipation of the end of the game

Will not for you when you get back when the stupid passions marry

Once the builders will be required after demolition



You will not forgive you that you have not lost the temple of the Spirit

That you judged the incident that spelled yourself

That you don't make a drunken in the pubs of life

And don't lose numbesting in a foolish role of the suffering



Have you seen a chick

Where only the blacks are played

Thrown out of life stage

The whites leave silently"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԽՈՒԼ ՀԱՌԱՉԱՆՔԻ,"Deaf groaning pain from the Mormol

You are not always defined by the same night

A lucky game is a cruel second

Pass open front-back



Mysterious in this life stage

Today in uncompromising silence

Tomorrow you will happen to light

If you don't lose in steppes and become homeless



Dead hopeful faith

You were not the guard in a sake of the grave

This is just a temptation sleep that will pass

Only not the light of the stage



Four sided waves threatening wild

While pushing under your steps of your

You know smiling nerves

That you don't skate before the herd



This is your way to load patience

You are not you from a half-dry root

Let them hit you and rejoice for a moment

You keep your pulse on the coming battles and look away



And one thing be careful to listen to your breast

Holidays of Heads secretly

That will call you to your big dream

Flower to eruptive nerves



When freedom doors associated with

The dog will launch guards you

And at least one day at least one second

Become the particle of mankind carefree



You will still stick to a silent and a lounge of a foreign

And like a beast survived

Through the barrier of gray views

Nothing in the foot of the sky Networks and fuzzy hopes



And at least one day at least one second

Throw away from your shoulder to the Memory

Hourly flooded while looking at heaven

And don't call where you were God"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ՀԱՂՈՐԴՈՒԹՅՈՒՆ (ԱՇԽԱՐՀԸ ԱՅՍ ԲԱԺՆՎԵԼ Է),"The world has been divided

A thousand and a different pieces

They say a long time ago

Every Late piece is a country

Captive to his patching laws

And a man sharing a human

Proached to those rags



Every half is an empire

Either a state or colony of someone

Boundary barbed

Body on the blue planet



One of those half is our country

Related to stone anchors with reef

Half-bound stake pressed

Grumbling half of the lights

And half a piece of bread



And when it is shared at the face of the face of the world

Shared fights and meat grinder abandoned incomplete detachments

Shared the last bullet and coat

From the previous war

And you're closing with your body

The corridor of new losses

I hate old and new half-fits

In the middle which shared my soul

I'm already bored with half a mob

From a quarter pastors of half thieves

And the train fading on halfway we push



I hate half-faded nationals

From Ramik gentlemen I'm in Zarzand

Else something I won't remember



The body of the tree again will give sprouts on the threshold of spring

Again your window in the light of the dark life

Only to stand your heart to a thousand shots shared

Don't kill the wings on the road shared in your flight

Listen to the Time Sharitable Zars Listen

A tune not distributed yet

Close the opened doors of losses

And don't be mixed with the crowd



Hey Blessed be the unity of our crazy

I hate you captive to half

I am with you who are dancing from pain

I am with you who will the will of his strain

Mocking the fate of fate"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ՀԱՂՈՐԴՈՒԹՅՈՒՆ (ՊԱՐ),"Father Our Miracle Falling

Source Luso You are two

Holy Name Your

Lord Our Higher You Creator

And come to the kingdom

Will be will be your extremely

As heaven and heavier

You are only silent in the ruler of the universe



We are mercy on thee

When which fields are our abandoned

And we pray forgiveness

For our sins, because we are dependent

It is said to forgive them

Whoever is defiled by my country's temple

Maybe else and forgers

But we never remember the past



And don't take a test

But life is our only test

And the Lord of the Lord is saved

But why are you what are we free

For it is yours and the kingdom and power

And glory you are the ruler

Now and always and forever

We will lose while you are immortal"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ՀԱՂՈՐԴՈՒԹՅՈՒՆ 1,"A glass blue transparent bowl

Bears the planet in himself

In a cloudy uterus paradise and hell

Are associated with each other at the same time



They chewed the body of your body

The Marked Marked Illusion

The sprayed bloody blood

It doesn't change well with your name



Lord you know you have adopted

And they say they are circumcised

Was your birthday

Who invented this lie

Who should this lie tell?



I'm tired of people unique

One is a thumb paste while the other slab

The third swing in the middle of the sky

Fourth is only that does not deliver



We are folding life and miscarriage

Only at Completing Our Father Remember You You

We have extinguished all the candles in the deeper

We have lost your Father we don't find ourselves



They chewed the body of your body

The Marked Marked Illusion

The sprayed bloody blood

It doesn't change well with your name



It doesn't change well with your name



Lord you know you have adopted

And they say they are circumcised

Was your birthday

Who invented this lie



Who invented this lie"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ՀԱՂՈՐԴՈՒԹՅՈՒՆ 2,"One by one polished stones touched each other

The plates covered your ship and became a temple



Divided his advice from a thousand chairs

Forgot to share father

And the worn of people worn

And the rags inherited inherited conscience



The skeleton of the exhaust monastery bears the dome

The soul of the owners of the Father is coughing in coughing



Still stands of temples shepherds

Self-proclaimed leaders

Semi-Vocabulents

The priest is a fat scribe blunt



They chewed the body of your body

The Marked Marked Illusion

The sprayed bloody blood

It doesn't change well with your name



Lord you know you have adopted

And they say they are circumcised

Throughout your birth

Who invented this lie

To whom did this lie need to tell?



One by one polished stones touched each other

The plates covered your ship and became a temple



Divided his advice from a thousand chairs

Forgot to share father

And the worn of people worn

And the rags inherited inherited conscience"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ՀԱՂՈՐԴՈՒԹՅՈՒՆ 4,"Father that you are two

Holy Name Your

Come to the kingdom of you

Will be your will

As the heavens

And the Yerki

WE ARE WITH OUR GOVERNMENT

Give us today

And let us be forgiving us.

As and us leave

MOTHER DEPARTMENTS

And don't take a test of Zhez

But to save us from evil

Father that you are two

Holy Name Your

Come to the kingdom of you

Will be your will

As the heavens

And the Yerki

WE ARE WITH OUR GOVERNMENT

Give us today



Now and always and forever

Blessed are you the Lord our merciful



The world has long been emptied

When Lord of You Leaveed

Long faded in the voice in the air

Silent laid silently with snowflake

And it turned out

Christ appeared in us

Like the rain passed

Gave thirsty water to the land

Heart Hades

And it turned out

Christ Country Fucked down

Heart shared with people

Lit a light in the lost soul

Our sins were silently crucified

And it turned out



Our Father

Holy Name Your

Come to the kingdom of you

Will be your will

As the heavens

And the Yerki



Of the trials of lost

Parked world

Kissing You Almighty

Light you are my eyes

Of obedience and suffering

Sermons will lie to the wall

Robed lifeless and godless

Light of your deprived tabernacle

No matter how much you press with the burrows

Vicon call

Will never drown in never magic call

The refrigerator is

In the temple worn in my heart

I will keep our Father Name your

And I will bless every morning Luso

ZOGID CATER

Boil your elevation

Heavenly Lord My



Our Father

Holy Name Your

Come to the kingdom of you

Will be your will

As the heavens

And the Yerki



Now and always and forever

Now and always and forever



The world has long been emptied

When Lord of You Leaveed

Long faded in the voice in the air

Silent laid silently with snowflake

And it turned out

Christ appeared in us

Like rainfall passed

Gave thirsty water to the land

Heart Hades

And it turned out

And it turned out



Blessed are you the Lord our merciful

Now and always and forever"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ՀԱՂՈՐԴՈՒԹՅՈՒՆ 5,"Father that you are two

Holy Name Your

Come to the kingdom of you

Will be your will

As the heavens

And the Yerki

WE ARE WITH OUR GOVERNMENT

Give us today

And let us be forgiving us.

As and us leave

MOTHER DEPARTMENTS

And don't take a test of Zhez

But to save us from evil

For it is your kingdom and power

And glory



Isn't you almighty



Father that you are two

Holy Name Your

Come to the kingdom of you

Will be your will

As the heavens

And the Yerki

Lazy

Give us today

And let us be forgiving us.

As and us leave

MOTHER DEPARTMENTS

And don't take a test of Zhez

But to save us from evil

For it is your kingdom and power

And glory forever



Isn't you almighty



Father that you are two

Holy Name Your

Come to the kingdom of you

Will be your will

As the heavens

And the Yerki

WE ARE WITH OUR GOVERNMENT

Give us today

And let us be forgiving us.

As and us leave

MOTHER DEPARTMENTS

And don't take a test of Zhez

But to save us from evil

For it is your kingdom and power

And glory



Isn't you almighty



Father that you are two

Holy Name Your

Come to the kingdom of you

Will be your will

As the heavens

And the Yerki

WE ARE WITH OUR GOVERNMENT

Give us today

And let us be forgiving us.

As and us leave

MOTHER DEPARTMENTS

And don't take a test of Zhez

But to save us from evil

For it is your kingdom and power

And glory forever



Isn't you almighty



Keeped you the eye in the eyes of the eyes

And in the heart of the heart, the Lord left your light

Hardened

We stayed on a powder father your cross



But far away you are in the Lord Star Fog

And centuries flowing you a second

In this life, the Multiply Conscience is Lord and God

Heavenly after we fall into real



Absolutely true you're advice real

Creator of all you will spirit forever

But the trembling love in life is Lord and God

Heavenly then when we leave life



Keeped you the eye in the eyes of the eyes

And in the heart of the heart, the Lord left your light

Hardened

We stayed on a powder father your cross



But far away you are in the Lord Star Fog

And centuries flowing you a second

In this life, the Multiply Conscience is Lord and God

Heavenly after we fall into real



When we fall into real"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ՀԱՄԸՆԿՈՒՄՆԵՐ,"Covered in our eyes woven

And examining you always you

And with someone else's eyes

Watch your hidden life



And the old blood measurement again

Paths falling against you

And the vein you enters life

It gaze at the glance that coincided



We wander over the long

And we don't know where we walk

The deep painting of time

Located images in our spouse



Heaven as a Miller

As a briefcase

And he draws my life

It tastes with the lines



New Greeks Life Enter

And flows emotion quietly

Floats in his solution

The worlds will nuance



And barely from the wind of the riot

Foam water suddenly

And crumpled on the sand

Alinks which coincided



The mouths of this talkative

And the words of a wide

And the days of alarming

By gifts they brought



Who will be delivered to us?

And who should be the slain of the slain

This deepening liturgy

These votes are lost tribe



Who will lead to the blood river

Saved from the supply of oblivion

Memory Wem creative

The hands that coincide



And from the depths of the days to

We remonstrate the past

And we feel suddenly with fear

How the connection is lost



How many lives did they know

We don't know if we don't

And we leave for our hands

With whom our luck with whom our luck coincided with



Stimulates with secret fear

And plaster life is elderly

And remains only vague

It's a dream that happened"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ՀԱՋՈՐԴ ԿՅԱՆՔՈՒՄ,"Something burned and left

What was deleted and hardened

What a half-breath in the soul

What was done in one in this life

What kind of skies remained in the heart

Wait wait

I will end in the next life



Semi-kissed petrified

Kapoyt at night unknown

Semi-prayer forgotten

The swearing

Semi-my-love stolen

Wait wait

I will love you in the next life



Semi-slapped unpleased

Semi-irony outstanding

Cross wounds Concrete

Half-revenge unresolved

And the curse is unfinished

Wait wait

I will end in the next life



Nephew

Unwieldy

Silent Council Tacked

Tendery stages unopened

Unholy Guitar

Wait wait

I'll clarify in the next life



Half-cursed

The half-cup is not twisted

Impossible sinned

Semi-mummified messes stolen

Dusty mask for salvation

Wait wait

I'll tell you in the next life



Semi-flying in my dream

And silent troper of lights

What I didn't understand today

What a star I don't

And what a fairy tale that I didn't live

Wait wait

I will live with you in the next life"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ՀԻՄԱ ՀԱՍԿԱՑԱ,"Now I realized the importance of the stand

The way only to the points of points

Breathes your face sweaty station

Swallow us and throw out



Blank suitcases are pressed

Oily glasses tremble on the table

The disgusted passengers of each other

What is meanless lies?



The road is the deception of your going

Only unknown ahead

When people are disappearing from your street

You seek them in another city



You hang in your sluts in your sluts

Hey where you have to run away from yourself



Your suitcase is also the crazy violin case

No one is waiting for you on the way

You search the blue town

Where dreams do not steal



You have now realized the important thing to stop

The road to two points connecting

Are you being disgusted with immobility?

City from Kazak to city where you are not waiting



Lying down the real wooden bed trembling the cold

Hey where you have to run away from yourself



You have now realized the important thing to stop

The road to two unknown connections

Breathes your face sweaty station

He is not taken out not receiving back



The song is a type of point of points

The words attached to each other attached to each other

The scale is a rainy empty station

Ur violin your drunken passenger



You hang in your sluts in your sluts

Hey where you have to run away from yourself"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ՀԻՆԳ ԴԱՐ ԱՌԱՋ,"That you have died five centuries ago

You will die today

The same tree sprouted green

And you have become the same ground



Five centuries ago five centuries later

Are the same passerby for irretrievable

Kicney hopeless dark evening

Frozen on your eyes



For the tree and this land

Was the same yesterday same today

The same bloom is spring

And the same Leaf in the fall is dry



It is the same now a century and secondary

When there is no march and coming

The same is true of the community

When there is no wave of life



That you often wept

And you were having a lot of fun

You are that Driver thorns and flower

You turned the same darkness into the army"
