Artist,Song,Lyrics
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԱՀԱ ԵՎ ՎԵՐՋ,"
	Վերադառնում է սերը,

	Լսում ես կարճ մի պատասխան`

	Հե՜յ, ուշ է...

	 

	Եվ ո՞ւմ կամքով է, որ կյանքում,

	Ամենն ունի իր վերադարձը,

	Միշտ ուշացած գտնում ես այն,

	Ինչ որ վաղուց կորցրած ես:

	 

	Երբ անառակ որդու նման,

	Վերադառնում է խիղճը,

	Լսում ես կարճ մի պատասխան`

	Ուշ է, ուշ է...
"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԱՇԽԱՐՀԻ ՑԱՎՈՎ,"
	Սիրտս կարյունի աշխարհի ցավով,

	Որքա՜ն տառապանք, Աստված իմ, չորս դիս,

	Կյանքի դաշտերից փչող ամեն հով,

	Հառաչ ու կսկիծ կզարնե դեմքիս:

	 

	Անմեղ զոհերի արյունով եռուն

	Հողը ոտքիս տակ կմնա միշտ թաց,

	Եվ նոր վճիռներ իմ շուրջն, ու հեռուն

	Կծնվեն մարդիկ արյունով հարբած:

	 

	Սրի ու սովի կդառնան ավար

	Լույսի պես պայծառ մանուկներ սիրուն,

	Եվ ոտքի կոխան հասկեր անհամար`

	Աշխատավորի քրտինքով օծուն:

	 

	Ես ինչպե՞ս նստեմ խնջույքի սեղան

	Եվ ըմպեմ ուրախ վայելքի գինին,

	Երբ որ կխլեն մարդիկ անվարան

	Որբի բերանից պատառը հացի:

	 

	Աստված իմ, որքա՜ն անարդար վճիռ,

	Ինչպե՞ս կարող եմ քար դնել խղճիս

	Կյանքեր թևաբեկ և թշվառագին

	Աշխարհի ցավով հիվանդ է հոգիս:
"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԱՌԱՋ ԳԻՏԵԻ,"
	Առաջ գիտեի,

	Թե մարդիկ ինչու կգային աշխարհ,

	Արեգակն ինչու կթափեր ոսկի,

	Ծաղկաբաց ծառի ափերում դալար

	Ինչո՞ւ կհնչեր երգը գետակի,

	Առաջ գիտեի, հիմա չգիտեմ:

	 

	Առաջ գիտեի,

	Ինչ էին ասում աստղերը պայծառ,

	Կախված կամարից անհաս երկնքի,

	Թե ուր կարշավեր վազքը տենդահար

	Հավերժագնաց մեր մոլորակի

	Առաջ գիտեի, հիմա չգիտեմ:

	 

	Առաջ գիտեի,

	Թե ինչո՞ւ մարդկանց ծիծաղին հորդուն

	Խառնվում էր լաց, արյուն ու արցունք,

	Եվ ինչու կյանքի հինավուրց ճամփին

	Վիհին կնայեր ամեն մի բարձրունք,

	Առաջ գիտեի, հիմա չգիտեմ:

	 

	Առաջ գիտեի

	Թե ինչ կար կյանքից, մահից էլ անդին,

	Ինչ գանձեր ծածուկ ուներ ապագան,

	Եվ թե որ անսուտ, նորածագ լույսին,

	Կբացվեր հանկարծ ամեն գերեզման,

	Առաջ գիտեի, հիմա չգիտեմ:
"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԱՍՏՂԵՐ,"
	Երկնքում անթիվ աստղեր են լողում,

	Բայց մարդիկ երբեք վերև չեն նայում,

	Հայացքները կախ միշտ նայում գետնին,

	Քարացած սրտով ինչ հրաշք երկինք...

	 

	Երկնքում կապույտ արևն է լողում,

	Ամպերը սակայն երկինքն են փակում,

	Շողերը վերջին խեղդվում են ահա,

	Սակայն ոչ մի սիրտ չի նեղվում անգամ...

	 

	Երկնքից պոկված աստղերին ափսոս,

	Երկինքը ափսոս` հողին հարթեցված,

	Աստղերը պոկող պատանուն ափսոս,

	Ափսոս խորտակված իղձերին նրա...
"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԱՍՈՒՄ ԵՆ,"
	Ասում են կարճ է կյանքը,

	Շուտ կը մարի սրտի զարկը,

	Բայց արևի տակ ծիրանի,

	Երիտասարդ ու ծերունի,

	Ահա կանգնած շարան շարան,

	Կձանձրանան:

	 

	Ասում են քաղցր է կյանքը,

	Եվ անսահման երկրի փառքը,

	Բայց քրկի մեջ բուրաստանի,

	Ծաղիկների դեմ գեղանի,

	Մարդիկ ահա շարան շարան,

	Կձանձրանան:

	 

	Ասում են խորն է կյանքը,

	Լույս է համայն երկրի հանքը,

	Բայց կանչի դեմ ծիածանի,

	Կամ աստղերի խորհրդալի,

	Մարդիկ ահա շարան շարան,

	Կձանձրանան:

	 

	Ասում են նոր է կեանքը,

	Միշտ կհնչի սիրո զանգը,

	Բայց աներազ առանց տաղի,

	Սեղանի շուրջ աղ ու հացի,

	Մարդիկ ահա շարան շարան,

	Կձանձրանան:
"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԲԱՐՈՎ ՄՆԱՔ,"
	Դռները մեկ առ մեկ փակում

	Կյանքիս անցած էջերի պես,

	Էջերը լույս պահում սրտում,

	Մնացածը տալիս քամուն

	-Եվ հեռանւմ,

	-Բարով մնաք...

	 

	Բարով մնաս իմ մանկություն,

	Որ դեռ ապրում, այրվում ես իմ սրտում,

	Փոքրիկ ջութակ, քարքարոտ բակ,

	Աքսորների խուլ ահազանգ,

	-Կռիվ ու խաղ,

	-Բարով մնաք...

	 

	Բարով մնաք իմ ընկերներ,

	Որ կիսեցիք ինձ հետ օրերը հին,

	Ես կհիշեմ ամեն վայրկյան

	Նրանց, որոնք արդեն չկան,

	-Օրհնյալ լինեք,

	-Բարով մնաք...

	 

	Բարով մնաս դու իմ քաղաք.

	Եվ փողոցներ իմ հարազատ,

	Ես չափչփել եմ ձեզ հազար անգամ,

	Դեմքեր ծանոթ, բարի ու գորշ,

	Հեգնանք, ժպիտ և հայհոյանք,

	-Ես դեռ կգամ,

	-Բարով մնաք...

	 

	Ինքս ինձնից եմ հեռանում

	Եվ կամուրջները ետդարձի ես չեմ այրում...

	Ես հեռանում եմ, որ դառնամ,

	Հազար փակված դռներ բանամ,

	-Հիմա գնամ,

	-Բարով մնաք...

	 

	Մնաս բարով, վերջին իմ սեր,

	Կորուստի պահը լուռ, և քարացած շուրթեր...

	Գիշեր անդարձ, ձեռքեր սեղմված,

	Եվ կորուստի դռները բաց

	-Ես փակեցի,

	-Բարով մնաք...

	 

	Մնաք բարով խելառ օրեր

	Անքուն հազար իմ գիշերներ

	Բարով մնաք, խոսքեր մաշված

	Դեմքեր հոգնած

	Նոր խաբկանքի դռները բաց

	-Չեմ հավատում,

	-Բարով մնաք...

	 

	Մնաս բարով, վերջին կորուստ,

	Վերջին իմ հույս, սպասում, 

	Երազ վերջին...

	Ես հեռանում եմ ամենից,

	Ամեն տեսակ սուտ խաղերից

	-Ես չեմ խաղում,

	-Բարով մնաք...
"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԴԱՏԱՐԱՆ,"
	Կապեցին վաղուց աչքերդ փալասով,

	Ժանգոտեց ձեռքիդ կշեռքը դարավոր,

	Գողացան կշռաքարերը քո խղճի

	Դու ես, որ արդարություն ես - Հե՜յ, երևի...

	 

	Հեգնեցի ես կուռքերին իմ հին ու նոր,

	Չեմ կանգնի ես քո առջև գլխակոր,

	Բանտարկված եմ ես ցմահ այս կյանքով,

	Եվ արդեն պատիժ է դա ծայրագույն հոդվածով...

	 

	Այրեցի բոլոր դռները բաց և փակ,

	Կողպեքները ձեզ վերցրեք - Հե՜յ, հիշատակ,

	Սև թելով սպիտակ թևերը կարեցի

	Ինձ ասում են - Չես թռչի - կջարդվես… Ցատկեցի...
"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԴԻՄԱԿԱՀԱՆԴԵՍ,"
	Ո՞ր խոսքերին ապավինեմ, 

	Ո՞ր հույսերով ինձ պարուրեմ ,

	Եվ ո՞ր ձայնով լարեմ նորից հոգիս,

	Եվ ո՞ր կանչին արձագանքեմ,

	Ո՞ր փարոսով առաջնորդվեմ,

	Ո՞վ կխրի դաշույնը իմ մեջքիս:

	 

	Ո՞ր ձայներից կխլանամ, 

	Ո՞ր ցավերին կդիմանամ,

	Ո՞ր խավարում ես կկորչեմ նորից,

	Եվ ո՞ր ստին կհավատամ, 

	Նորից ի՞նչից կզարմանամ,

	Եվ ի՞նչ հաղորդությամբ կհեռանամ կյանքից:

	 

	Աննշմար դողով ծառերը, 

	Մեր կյանքի փողոցներում, 

	Թաքցնում են մեր ձայները 

	Տերևի երակներում,

	Եվ դեղին մագաղաթները 

	Մայթերի վրա թերթվում,

	Եվ հողին մորմոքն են ժառանգում:

	 

	Ո՞ր աչքերի լույսը օրհնեմ, 

	Ո՞ր սաղմոսին ապավինեմ

	Եվ ո՞վ դեռ կխաչի ջութակս պաղ,

	Եվ ո՞ւմ ուժգին ոխով ատեմ, 

	Ո՞ւմ մոգական սիրով պաշտեմ,

	Ո՞ր կորուստներից կխենթանամ:

	 

	Ո՞ր քաղաքում անհետանամ,

	Ո՞ր տան խցում անէանամ,

	Եվ ո՞ւմ դիմակը ես պոկեմ դեմքից

	Ո՞ր լույսերից կկուրանամ, 

	Ո՞ր ցավերից ես կոռնամ,

	Ո՞ւմ փամփուշտից կհեռանամ կյանքից,

	 

	Աննշմար դողով ծառերը, 

	Մեր կյանքի փողոցներում, 

	Թաքցնում են մեր ձայները 

	Տերևի երակներում

	Եվ դեղին մագաղաթները 

	Մայթերի վրա թերթվում,

	Եվ հողին մորմոքն եմ ժառանգում:

	 

	Ո՞ր աչքերի լույսը օրհնեմ, 

	Ո՞ր սաղմոսին ապավինեմ

	Եվ ո՞վ դեռ կխաչի ջութակս պաղ

	Եվ ո՞ւմ ուժգին ոխով ատեմ, 

	Ո՞ւմ մոգական սիրով պաշտեմ

	Ո՞ր կորուստներից կխենթանամ:
"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԵՍ ՁԵԶ ԱՍՈՒՄ ԵՄ...,"
	Ես ձեզ ասում եմ՝ կըգա ոգու սով,

	Եվ դուք կըքաղցեք ճոխ սեղանի մոտ,

	Կընկնեք մուրալու հափրած որկորով՝

	Հըրեղեն խոսքի, վեհ խոսքի կարոտ:

	 

	Լրբենի ծաղրով արհամարհեցիք

	Ոգու վառ զեղմունք - միտք ու երազանք, 

	Նյութի տաճարում արբած պարեցիք՝

	Մոռացած անմահ, անհունի տենչանք:

	 

	Դուք, որ հեգնեցիք ուժն ստեղծագործ՝

	Ձեր նյութի հանդեպ կըգա ոգու սով.

	Եվ մուրացկի պես փշրանքի համար

	Ծարավ ու նոթի կանգնեք ծովե ծով... 
"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԵՍ ՉԳԻՏԵՄ,"
	Երկու տուն ունիմ, փակ արած,

	Երկու սիրտ ունիմ, կանգ առած,

	Երկու թև ունիմ, կապ արած,

	Երկու տեր ունիմ` մի Աստված..

	 

	Իմ հոգուս լարով խաղ արա,

	Իմ սրտիս զարկով պար արա,

	Իմ վանքիս զանգով կանչ արա,

	Էն Սայաթ-Նովին հուշ արա...

	 

	Դուդուկիս շունչով հագենամ,

	Իմ ոգուս ցավին դիմանամ,

	Աշխարհքի ստով կուրանամ,

	Նախանձի թույնից հեռանամ...

	 

	Կարգեցին գուսան ծաղրանքով,

	Երգերս` պատանդ վիրավոր,

	Կոկորդիս ձայնը խլացավ,

	Էս մարդոց խիղճը վերացավ...

	 

	Իմ հոգուս լարով խաղ արա,

	Իմ սրտիս զարկով պար արա,

	Իմ վանքիս զանգով կանչ արա,

	Էն Սայաթ-Նովին հուշ արա...

	 

	 


		Խոսք՝ Սայաթ Նովայի, Արթուր Մեսչյանի

		Երաժշտություն՝ Սայաթ Նովայի


	 
"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԵՍ ՓՈԽՈՒՄ ԵՄ ՍԼԱՔՆԵՐԸ,"
	Ես փոխում եմ սլաքները,

	Երեևի վերջին անգամ:

	Չգիտեմ ճամփան իմ բաց է,

	Թե կարմիր լույսին կմոտենամ...

	 

	Հե՜յ, ինչ իմանամ:

	 

	Ձյան սպիտակ թավշե սփռոցը,

	Իմ թողած հետքերը կծածկի:

	Խլացնող այս լռության մեջ,

	Միգուցե լսվի մեկ մեղեդի:

	 

	. . . . . . . . . . . . . . . . . . .

	 

	Բազմաձայն մի երգչախումբ է,

	Դեմքերով թշակալած:

	Բեմերում լարերը լուռ են,

	Ո՞ւր ես դու, հաջորդ իմ ցնորված:

	 

	Պատվիրված ոսկե թակարդը,

	Իր հրաշքներով քեզ չգերեց,

	Փոխանցում եմ իմ ջութակը քեզ,

	Իմ բարեկամ, օրհնյալ լինես:

	 

	Ես փոխում եմ սլաքները,

	Հեռանում եմ դեռ չեկած

	Առջևում վերջին կանգառն է,

	Ո՞ւր ես դու, հաջորդ իմ ցնորված:

	 

	Ձյան սպիտակ թավշե սփռոցը,

	Իմ թողած հետքերը կծածկի,

	Խլացնող այս լռության մեջ,

	Միգուցե լսվի մեկ մեղեդի:

	 

	. . . . . . . . . . . . . . . . . . .

	 

	Ես փոխում եմ սլաքները,

	Երևի վերջին անգամ:

	Չգիտեմ ճամփան իմ բաց է,

	Թե կարմիր լույսին կմոտենամ...

	 

	Հե՜յ, ինչ իմանամ:

	 

	Ձյան սպիտակ թավշե սփռոցը,

	Իմ անցած հետքերը կծածկի:

	Խլացնող այս լռության մեջ,

	Կլսվի, գուցե, մեկ մեղեդի:
"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԵՐԲ ԻՄԱՍՏԱԶՈՒՐԿ Է ԼԻՆՈՒՄ,"
	Երբ օրերն անցած ճանճի պես մեխվում են

	Քո օրացույցի դեղին էջերին,

	Ամիս առ ամիս անիմաստ թափվում են

	Տերևների պես, քո կյանքի ծառից:

	 

	Երբ ժամացույցի լարված զսպանակը

	Կացինն է ճոճում քո պարանոցին,

	Անցյալը դանդաղ իմաստազրկվում է,

	Ներկան էլ թմրած` քո ոտքի տակին:

	 

	Կյանքը անիմաստ իմաստազրկվում է,

	Երբ վերածվում է անվերջ պայքարի,

	Պայքարն էլ, ավաղ, իմաստազրկվում է,

	Երբ վերածվում է կյանքի իմաստի:

	 

	Իմաստը կորցրած դատարկ պատվանդանը

	Սպասում է հաջորդ կուռքի քանդակին,

	Երբ տապալվում է կանգնած արձանը,

	Ժամանակը միշտ վիժում է նորից:

	 

	Փողոց ու այգի իմաստազրկվում են

	Իմաստազրկված քաղաքի մեջքին,

	Տները նույնպես իմաստազրկվում են,

	Երբ վերածվում են ապաստարանի:

	 

	Խոսքը շատ վաղուց իմաստազրկվել է,

	Ծնվել երախում բյուր ժողովների,

	Իմաստը նույնիսկ իմաստազրկվել է՝

	Այն վազքի նման, որ ավարտ չունի:

	 

	Ձեռքերը, պարապ, իմաստազրկվում են,

	Ամեն օր դարձավ տխուր կիրակի,

	Գլխուղեղիդ մեջ օրեցօր մեխում են

	Պատճառները բյուր առանց պատճառի:

	 

	Անիմաստության խորտակվող իմ նավը

	Նորից փրկության ափին է զարնվում,

	Երբ վերարկույով քնած զավակներս

	Մեկ-մեկ արթնանում ու ինձ են նայում:

	 

	Նրանց աչքերի առկայծող լույսերը

	Ոգուս սառույցի կեղևն են փշրում,

	Անկարողության պոկում կապանքները,

	Եվ կյանքս նորից իմաստավորում:
"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԵՐԳԸ ԽՂՃԻ,"
	Վախցիր, երբ սիրտդ կարյունի`

	Վերքը խղճի չունի դարման,

	Օր ու գիշեր պիտի բանի,

	Մինչև հատնի կյանքի ճամփան...

	Քեզ չեն կարող էլ վշտակցել,

	Խիղճը ծակող ցավի համար,

	Խղճի արյան ամեն կաթիլ

	Կիյնա ծածուկ և աննշմար...

	Վախցիր, երբ խիղճդ ամբասիր,

	Մեղապարտի պես կարյունի,

	Եվ կդառնա տեր ու դպիր,

	Կյանքն արյունող ամեն ցավի...

	Աչքերիդ դեմ խղճահարի,

	Պիտի հորդի մեղքը մարդոց,

	Պիտի քայլի զորքը չարի,

	Աշխարհի մեջ տառապակոծ...

	Վախցիր, երբ դեմքդ է միշտ ժպտում,

	Բայց կարյունի խիղճդ ներսեն

	Երբ կկիսես հացը մարդու,

	Բայց արյան համ կգա հացեն:
"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԵՐԵԿ ԵՎ...,"
	Երեկ տխուր, այսօր ուրախ

	Ալիքի պես ծափ եմ տալիս,

	Երեկ դեպի անհայտություն,

	Այսօր դեպի ափ եմ գալիս:

	 

	Լուռ ժպտում եմ փոքր ու մեծին,

	Կամ ծիծաղում խենթի նման,

	Նվիրվում եմ ավազներին`

	Անապատի գետի նման:

	 

	Նվիրվում եմ անմնացորդ,

	Ինձ ժպիտներն ո՞ւր են տանում

	Ծիծաղիս մեջ ամեն անցորդ

	Հոգնած հոգին է լվանում:

	 

	Վաղը, երբ որ մշուշ լինի

	Եվ արցունքներ ծնվեն ցավից,

	Գուցե մեկը, փոքրիկ մի կայծ

	Ետ բերի իմ ծիծաղից:

	 

	Երեկ տխուր, այսօր ուրախ

	Ալիքի պես ծափ եմ տալիս,

	Երեկ դեպի անհայտություն,

	Այսօր դեպի ափ եմ գալիս:
"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԵՐԿԻՐ ՀՆԱՄՅԱ,"
	Երկիր հնամյա, երկիր հայրենի,

	Ոչ մի աստղ պայծառ և ոչ մի լուսին

	Քո հավերժական հմայքը չունեն,

	Լեռներից այն կողմ, ամպերից անդին:

	 

	Որքան էլ քեզնից ես սուրամ հեռու,

	Որքան էլ օտար հողերում լինեմ,

	Անհունության մեջ, միջոցին թափուր,

	Ես քեց կորոնեմ, հայրենի իմ տուն:

	 

	Դու առաջին սեր և վերջին կարոտ,

	Հուշերի նավակ, ուրախ ու ցավոտ,

	Շրթերիս վրա կմնաս միշտ դու,

	Մայրական համբույր, իմ կարոտ տխուր:

	 

	Երկիր հնամյա, երկիր պապենի,

	Քո ոգուց շաղված լեզու մայրենի,

	Քո ոգուց բուսած տենչանք ու կարոտ,

	Ի՞նչ եմ առանց քեզ՝ միայն անտունի:

	 

	Ամպամած ձմեռ, թե պայծառ գարուն,

	Արցունքի հովիտ կամ դրախտավայր,

	Ես քեզ կտենչամ, ես քեզ կկանչեմ,

	Ես քեզնով կապրեմ, հայրենի իմ տուն:
"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԶԱՐՄԱՆՈՒՄ ԵՄ ԵՍ,"
	Աղբյուրից մաքուր ջուրը խմելիս՝ ես կհագենամ,

	Եվ հետո, մի պահ կառչած ներկային, ես կզարմանամ,

	Թե ինչպես եղավ, որ մեր շուրջ հանկարծ ամենը փոխվեց:

	Ասում են՝ ամեն երազանք ու հույս նորից պղտորվեց:

	 

	Զարմանում եմ ես մեր առջև փակվող հազար դռներից,

	Զարմանում եմ ես մեզ բաժան անող հազար շերտերից,

	Զարմանում եմ ես և նորից-նորից ես չեմ հասկանում:

	Եվ գլուխս կախ ամբողջ իմ կյանքում ազգս եմ փնտրում:

	 

	Ես չեմ զարմանում նորից արթնացած բյուր ճիվաղներից,

	Զարմանում եմ ես նորից համբերող իմ ժողովուրդից,

	Զարմանում եմ ես և չեմ վախենում օտար թշնամուց,

	Խորանը երկրիս ներսից էր քանդվում և արդեն վաղուց:

	 

	Ժանտախտի օրոք քեֆ է ընդանում մի համատարած,

	Լրբերը վերցրին իրենց երեսից դիմակն ամոթխած,

	Կսպանվի սարում այրվող փամփուշտով չքնաղ պատանի,

	Դատապարտելով աճյունը սառաց մի ճոխ թաղումի:

	 

	Զարմանում եմ ես, որ նորից-նորից, գլուխը կորցրած,

	Ընթանում ենք մենք անցած ուղիով արդեն բթացած:

	Զարմանում եմ ես, որ այս աշխարհում ոչինչ չի փոխվում:

	Անիվը սելի նորից կոտրվեց իր սիրած փոսում:

	 

	Զարմանում եմ ես դատարկ ու պարապ ինչ-որ հույսերից,

	Զարմանում եմ ես, որ չեմ զարմանում էլ ոչ մի բանից,

	Խուլ ու հնազանդ չարին հանձնված այս մեծ աշխարհից

	Եվ մարդկանց անդունդը տանող ճանապարհներից:
"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԷԼ ՈՉ ՄԻ ՎԻՇՏ,"
	Էլ ոչ մի վիշտ, էլ ոչ մի ողբ,

	Ոչ մի կսկիծ, կամ էլ մորմոք,

	Ոչ մի դատարկ հույս կամ աղոթք,

	Կամ բյուրեղյա երազ անհոգ.

	Անցան դարեր:

	 

	Բավ է դիեր ու հեկեկանք,

	Բավ է՝ մեր ծեր ցավը ողբանք,

	Հերիք՝ անխելք մխիթարանք.

	Հոգնել եմ ես:

	 

	Որքան հետքեր գաղթականի,

	Որքան տներ առանց ծխի,

	Իբրև վկայք՝

	Դեռ չմարած մեր պարտքերի:

	 

	Որքան աղոթք անզեն իզուր

	Եվ սխրանքներ անհատների,

	Պարապ գանգեր՝

	Առանց մարմին ու անլեզու:

	 

	Կար լոկ դիմակ վստահության,

	Միայն ստվեր խիզախության,

	Եվ, իբր վերջ,

	Ապտակն ուժգին մեր պատմության:

	 

	Սա է աղոթքը մեր դարի,

	Սա է պատգամը մեր ծառի,

	Այս գորշ վիժվածքը 

	Պատմության և մեր հողի:

	 

	Եվ չի փոխվել աշխարհը սին,

	Եվ չեն փոխվել արև լուսին,

	Նայեք այսօր ձեր դեմքերին,

	Նայեք այսօր ձեր աչքերին:

	Հոգնել եմ ես...

	 

	Ինչ էր երեկ նույնն է այսօր,

	Նույն բզկտումն ամենազոր

	Եվ պառակտված, փշրանք դարձած

	Մի ժողովուրդ:

	 

	Նայեք իրար, նայեք ձեր մեջ,

	Ինչ կա հզոր հաղթող հավերժ,

