Artist,Song,Lyrics
CKK,Hollywood is Dead,"
[Songtext zu „Hollywood is Dead“]


[Intro]

Yeah


[Part 1]

Zerstör' mich lieber selbst (Mich selbst), bevor du denkst, du fehlst (Du fehlst)

Alles bis nachts um vier (Bis nachts um vier), doch Traum manifestiert sich (Manifestiert sich)

Trotz Summer Nights frier' ich, leerer Blick, verlier' mich

Warum muss ich denn so sein?

Lass mich doch einfach allein


[Hook]

Ah, ich brauchte dich nie (Ich brauchte dich nie), mehr Zeit Therapie (Mehr Zeit Therapie)

Final Fantasy (Final Fantasy), ich frag' mich, bist du echt? (Ich frag' mich, bist du echt?)

Sprichst viel, aber nur Text, Hollywood is dead

I already saw the devil inside your eyes


[Part 2]

Zerstör' mich lieber selbst (Zerstör' mich selbst), bevor du denkst, du fehlst (Zerstör' mich selbst)

Text back to back um vier (Text back to back um vier), doch Angst manifestiert sich (Manifestiert sich)

Nicht ich, du verlierst mich, spielst du's, wird es wirklich, ah

Warum muss ich denn so sein?

Lass mich doch einfach allein


[Hook]

Ah, ich brauchte dich nie (Ich brauchte dich nie), mehr Zeit Therapie (Mehr Zeit Therapie)

Final Fantasy (Final Fantasy), ich frag' mich, bist du echt? (Ich frag' mich, bist du echt?)

Sprichst viel, aber nur Text, Hollywood is dead

I already saw the devil inside your eyes

Ah, ich brauchte dich nie (Ich brauchte dich nie), mehr Zeit Therapie (Mehr Zeit Therapie)

Final Fantasy (Final Fantasy), ich frag' mich, bist du echt? (Ich frag' mich, bist du echt?)

Sprichst viel, aber nur Text, Hollywood is dead

I already saw the devil inside your eyes"
Mi Qani Hogi,Hayuhi Geghecik,"
[Verse 1: Միշո, 
Ֆելո
]

Հայուհուն գեղեցիկ գեղացիք նեղացրին

Ցավալիա որ հենց իրա քուչի տեղացիք

Ցավալիա բայց ինչ անես ում դիմես ով քեզ կօգնիՀուսամ որ էս կյանքում դու փնտրելուց չես հոգնի

Թե չէ ծնվել ես մի տեղ ուր գեղեցիկը թանգա նստում

Որ ընդամենը որոշել էր ման գար դրսում

Որ շատ էլ շոգա բայց միայնակ սիրտնա մրսումԿարեվորնա պակասում էլ լույս չկա հոգու ներսում


[Hook: 
Ռոլանդ
, 
Ֆելո
, Միշո]

Քեզ ման էկող մարդիկ կորել են

Ինչ որ մի տեղ փոսը փորել են

Ափսոս քեզ չտեսա հասցրեցի շեղեցին

Մի լացի արդեն քո հետ եմ հայուհի իմ գեղեցիկ

Հայուհի գեղեցիկ քեզ նեղեցին տեղացի գեղացիքՀայուհի գեղեցիկ քեզ նեղեցին տեղացի գեղացիքՀայուհի գեղեցիկ քեզ նեղեցին տեղացի գեղացիքՀայուհի գեղեցիկ քեզ նեղեցին


[Verse 2: Միշո, 
Ֆելո
]

Էլ տեղ չկա փախնելու ամեն ինչնա վախ բերումԲառերն օդում կախվելու ու իրար են բախվելու

Քեզնից անկախ հեռու հեռու տեղերը քո նման

Գեղեցկուհուն ձեռների վրա տարել էին հիմա

Իսկ քո տանը քեզ չեն թողում շնչեսԿտան ռետին որ ինչն ավելորդա ջնջես

Դու դավաճան չես հոգուդ հանդեպ էրեվումա մեջիդ պատը դա չեք կարա քանդեք
"
CKK,Biohazard,"
[Songtext zu „Biohazard“]


[Hook]

Yeah

Anfang Monat fehlt das Cash

Renn', renn', komm, ich glaub', du fällst

Tick-tick, Uhr, sie hört, sie bellt

Vi-Vielleicht ja keiner echt, ja, ja, ja

Biohazard, Biohazard, Biohazard


[Part]

Jeder von euch macht auf hart, aber weißt du was

Es heißt wenn Mama weint, ihr fehlt die Zeit, wir sind allein, Shit

Du kennst nicht mein Leid, Bitch

Ihr seid alle Sidekicks, Mob-Shit, Shawty psychic

Why would tell you lies? Bitch (Yeah)

Hab' das alles schonmal so geseh'n (Alles schonmal so geseh'n)

In den Träumen, die mich immer wieder quäl'n (Immer quäl'n)

Komm, wach auf (Wach auf)

Es hört nicht so einfach auf


[Hook]

Yeah

Anfang Monat fehlt das Cash

Renn', renn', komm, ich glaub', du fällst

Tick-tick, Uhr, sie hört, sie bellt

Vi-vielleicht ja keiner echt, ja, ja, ja

Biohazard, Biohazard, Biohazard

Anfang Monat fehlt das Cash

Renn', renn', komm, ich glaub', du fällst

Tick-tick, Uhr, sie hört, sie bellt

Vi-vielleicht ja keiner echt, ja, ja, ja

Biohazard, Biohazard, Biohazard"
Mi Qani Hogi,Dzmer,"
[Verse 1: Felo]

Բառերիս մեջ ասեղներ կան,որ մատերս են ծակում

Ենթատեքստ ` ամեն մի վանկում

Եթե ենթադրես, որ անկում ես ապրում

Հավատա քո անունն էլ կա Մի Քանի Հոգու ցանկում :

Մոլորակը մոլորվելա ու թարսա պտտվում

Շրջապատը հա բթվումա, թթուն ել` թթվում :

Մեկ մեկ լավը անջատվումա ու վատնա մտնում

Լավը կորցնողը միշտ վատնա գտնում:

Մարդիկ հա վազում են փառքի հետևից

Մոմերն ավազում են հալվում են, գնում

Բայց փառքը կարա պառկի հետևից

Դունչը հասավ խաղողին ուրեմն դնչինեն դնում:

Պիտի մի լավ օճառվես, որ լավ վաճառվես

Քեզ ասումա «Մոտ արի» հացի հոտը Օտարի:

Ընկճված ես, մոլորվածես ու չգիտես ինչ անես

Օրերն ել փոխվում են, գնում ու էլի նոր տարի։

Ու էլի ստից ժպիտ, սառը համբույրներ

Տաք երկաթին մի կպի ` վառվումեն գույներ։

Ու էլի սառը գիշեր ու սառը ցերեկ

Մի բան պիտի ցրեք

Մի բան պիտի ցրենք։

Պոկված մտքեր կան պիտի իրար կպցնենք

Հավաքենք, տանենք հեռու։

Թող բաց մնա դուռը որ մեզ չհարցնեն

Ինչի՞ ենք տաքը սառացնում ու սառը վառում

Պոկված մտքեր կան պիտի իրար կպցնենք

Հավաքենք, տանենք հեռու։

Թող բաց մնա դուռը որ մեզ չհարցնեն

Ինչի՞ ենք տաքը սառացնում ու սառը վառում
"
Mi Qani Hogi,Nerqevic,"
[Verse 1: Միշո]

Նա մի քանի տարեկան էր

Խուլ քուչա

Այսինքն շունը բարեկամ էր...

Ամեն օրը նենց նման էր նախորդ օրվան

Ու մեկա նորը բավական էր

Երազում էր մեկը տաներ

Թեկուզ սևան, ասում են ցուրտա

Բայց դե, տաներ...

Տնեցիք հավքում են մանր

Որ գան-գնան

Ու սաղ հիվանդ են, էնքան ծանր

Հենց կողքինը խուլ ու համր

Բայց չեն գալիս ոչ իրա հերը, ոչ էլ մահը

Սաղ տարբեր են ու նման են

Ու սենց տեղերն ասում են հենց դրա համար են...

Աղմկոտ են ու համառ են

Անկապ խնդում, կամ էլ լացում են՝

Անդաթար են․․․

Ինքն էլ ծանր հաշմանդամ էր

Ով միշտ նստած պիտի մնա էտ մանկատանը


[Hook: Ռոլանդ]

Գոնե մեկը, երևի

Ինձ տեսներ վերևից...

Գոնե մեկը,երևի

Քեզ տեսներ վերևից...
"
Mi Qani Hogi,Ancoghika,"
[Hook]

Ամեն ինչ անցողիկ ա, անցողիկ ա, անցողի-կող

Մի քանի հոգի կա կմնա, մի քանի, մի քանի, մի քանի, մի քանի

Ամեն ինչ անցողիկ ա, անցողիկ ա, անցողի-կող

Մի քանի հոգի կա կմնա, մի քանի, մի քանի, մի քանի, մի քանի


[Verse 1: Ռոլանդ]

Կարևոր չի ամեն ինչին հասնես կյանքում էս

Կարևորը, կարևորը հասնես կյանքում՝ էս

Քեզնից հետո  կամ կսիրեն, կամ կհայհոյեն, ու կանցնեն հաջորդի վրով էլ

Նայի քայլելուց չսայթաքես, թանկ կնստի սրտիդ վրա էլ

Ու երկնքում ամեն ինչ գրվում է, պատասխաններին, որտեղ շատ մոտ ես:


[Verse 2: Միշո]

Թող սաղ անցած լինի

Իմ ու քո մեջ ամեն ինչ բաց լինի , բա ոնց

Մեր էությունը կայացած լինի, գլուխը բարձր, ոչ թե մեկ – մեկ ցածր լինի

Թե չէ հագցնու~մ ա դառնացած ուղղին էլ, հանում ու նստցնում ա չորացած ճյուղի~նն էլ

Էտ անցյալը, ընդհամենը կքաղենք միջից , իսկ ցավը, եթե պետք ա կհանձնենք գրիչին դարձյալ

Դրա համար թող սաղ անցած լինի

Հերթական մի օր գնաց էլի

Ու լիքը բան անվերադարձ կլինի, գիտե~մ ու որ էտքանը հասկացածներին մի տե, կուզեմ օգնած լինեմ

Թեկուզ աշխարհը դառնացած լինի իմ դեմ, պտի անցածը շպրտեն, մի օր նետեն

Ուր հավաքվում ա փչացածը , ու քցելու ենք էն ամենը, ինչը ստորև հնչեցրած ա:


[Hook]

Ամեն ինչ անցողիկ ա, անցողիկ ա, անցողի-կող

Մի քանի հոգի կա կմնա, մի քանի, մի քանի, մի քանի, մի քանի

Ամեն ինչ անցողիկ ա, անցողիկ ա, անցողի-կող

Մի քանի հոգի կա կմնա, մի քանի, մի քանի, մի քանի, մի քանի
"
Mi Qani Hogi,Barer Beranics,"
[Verse 1: Միշո]

Հիմա խոսա մի քիչ մուրացկանի բերանից աքսոսրված եմ

Կորցրել եմ ինքս ինձ` սննկացած եմ

Մի էրկու կոպեկ տվեք ես համաձայն եմ

Կարաք ինձ կոպտեք ես չեմ լսի հարբած եմ

Իմ ցավերը շատ են կուտակված

Հույս չկա ես անհույս արարած

Տուն չկա դուսը բայց նստած

Նենց սոված եմ կյանքն էլ կշտացածա ինձնից

Հույսս քանդվածա հիմքից

Ու թեկուզ գետնին կիսապառկած եմ

Հա դե հասկանում եմ մի տե ես կրված եմ

Սուտա ոչ է  շանս կտա ինձ մեկը

Թաց են միշտ զույգ աչքերս արդեն կուրացած եմ

Եթե շանս էլ կա դուխաթափված եմ

Եթե մահս գա գրկաբացված եմ (գրկաբացված եմ)


[Hook]

Ես մեջիցդ հանեմ բաներ

Էն ժամանակ երբ իմ մեջից ես հանում բառեր

Ու դրանովէ ես մեջիցդ հանեմ բաներ

Էն ժամանակ երբ իմ մեջից ես հանում բառեր

Ու դրանովէ ես մեջիցդ հանեմ բաներ

Էն ժամանակ երբ իմ մեջից ես հանում բառեր

Ու դրանովէ ես մեջիցդ հանեմ բաներ

Էն ժամանակ երբ իմ մեջից ես հանում բառեր
"
Misho,Oves Du,"
[Կար]

Ով եմ ես, դու լավ էլ գիտես

Ով ես դու՝ хуево, եղո ցուցահանդես

Մարդկանց պոնտերի ապե մանկապարտեզ

Քեզ էտի մտերիմա էլ ինչ ասեմ քեզ։

Ով ես դու ու ինչնա քո պիկը

Բասեյինով դոմիկը, safe-ում cash-ը լիքը

Սիրումա կնիկդ, երբ որ գրպանից

Գնում ես տոմս, թռնում Երևանից։


Ով են ուրիշները որ քննադատում են՝

Գնա լավդ քունեմ

Ինչ ուզում անում եմ, ունեմ մի հատ կյանք

Ուրեմն պտի տանք գազ, ստեյենք ու կանք

Ով է մտածումա կպելենք իրան

Ապե ջան դու ով ես մի էղի նիրյադ

Որ ասելու բան կա ուրեմն տետատետ

Ոչ թե երգերով, մի կողմ ինտերնետ։


[Խուդո]

Սեղանին պիվի շշեր, ոչ մեկի չկպա մատով

Էս դռնից դուրս բիրիք, թե չէ թանկա հատով

Ռեպը շտանգա քաշով, թե կա քաշ տենց քաշող

Ուրեմն դոպինգի տակա, այսինքն на хуй пошёл

Դեմքս մուգ թրաշով, ֆլոուս էլ նույն կուռաժով

Լսի դրանց երգերը, վռոձի սաղ խփող են Կալաշով

Հետդ կիսվում եմ տետատետ, բայց տենաս ով ես դու

Պատահական կողից անցորդ, թե լսող ես ու

Սպասում ես նոր track-երի գանգդ թափ տանք

Եթե ճիշտը պակասի պտի շտապ գանք

Չկա խաբկանք, սաղ прямой էրեսին դե լսի

Մեջը ծուխ գրամով ոչ մի գրամ Hennessy։

Չնայած ով ես դու կարողա պետք չէր հեչ էլ

Սկսել էս բանավեճը խոսում եմ մտքիս մեջ

Բայց դու լսում ես, վերջը չիմացանք է ով ես

Թարս բթեր շարող թե լավ էլ բաշարող ես

Լավ էլ պաշարով ես, թե մեջդ լրիվ փուչա

Տարիքային զբաղմունք քո ջոգելով սաղ լուրջա

Լիքը սենց բան տեսել ենք, թե սենց բան չկա

Թե սաղ անտեսել ենք, կորել ենք չկանք։

Ման ես գալիս ցրողին, թե ցրում ես քուչեքը

Կաչ ես անում պցերին, թե լսում են տղեքը

Քցում ես աջ ու ձախ, թե լռվում ես կողս դու

Մեզ դե գիտես լավ, ինձ ասա ով ես դու։
"
Misho,Zarancanq,"
Առավոտը արթնացա

Երբ արևն իրան կախում էր

Բայց վռազ ուրախացա

Որտև դուսը մառախուղ էր

Ժողովուրդնէ նենց տխուր էր

Սիրում ա պարզ

Ես սիրում եմ լինի խորը ու թաքուն

Սիրում եմ թարս

6-ը, 8-ը, 9-ը, 10 րոպեից տնից հեռու եմ ես արդեն

Տենց Երրորդ Մաս քշեցի

Քանաքեռում եմ,բայց արդեն խփում ա բաս

Ես կասեի արդեն տփում ա

Ձայնաալիքներ վրաս

Ոնց Սևանը մեր ծփում ա

Մինչև վերջ կոխել եմ գազ

Ու ֆռֆռում եմ, որ քաշես՝ կհասկանաս

Ես օյաղ եմ բայց թռնում եմ

Անընդհատ ունեմ պակաս ստէ

Իշքան էլ ըմբռնում եմ՝ կորելու եմ, չտենաս

Բայց էլի հայտնվելու եմ՝ հարսանիք, փեսա ու հարս

Երդվում ու հանձնվում են

Էդ թղթերը ինձ չտաս

Ես արդեն իմ գանձը ունեմ

Ինձ գիշեր ա պետք վռազ

Որտև լույսը ես ատում եմ

Դու խափում ես՝ մոտ չգաս

Ովէ մոտ ա՝ հավատում եմ

Ամեն օրը՝ ոնց որ դաս

Որ ներկա ես, արդեն լավ ա

Պետք ա լիքը կարանաս

Որ հեռու մնա էն ցավը

Որ ցավաէ չգոռաս

Քեզ ոչ մեկի օգնելու չի

Կտրտել եմ անանաս

Բայց էս հեչէ ուտելու չի

Հակամարտություն ա, վազք՝ ես կասեի

Էս հանրությունը խեղտվում ա

Մեկը պաս պահելով ա որոնում իր փրկությունը

Մեկը ֆաս ասելով՝ հրամայում ա, որ բռնեն

Որ ոչ մի մասսա ճամփին իրան՝ ծերից չհայտնվեն

Ասում եմ, հա ստե ինձ բան կա խանգարում ա

Ես օգտագօրծում եմ բառ

Իսկ լռելը թանկանում ա

Բայց աչքերս՝ հլը վառ

Ու դրա համար փակում եմ

Որտև ման էի գալի մարդ

Բայց կորել են կամ թաքուն են

Զառանցում եմ, ապէ, նաղդ

Տաքությունս բայց զրո ա

Պակասում ա դաժե վախ

Կամէ ուշ ա, պառանոյ ա, արդեն խորը մոտս բախտը ճամպե

Ու հրճվում եմ

Կապնվում ես, թե չէ, վախտը կգա

Կարող ա, դուս գամ, որտև քաքի մեջ եմ, յախք

Կասի տատը, որը կույս ա

Պասի, չեմ պռծել ես, ախ

Հատուցումն ա, ներսը, դուրսը

Մարդուն չեն պխծե,մեզ

Մենք ենք, ինքներս մեզ, ջրում ենք՝ ցեխաջուր ա

Պռոստը մենք ենք ինքներս մեր ձեռը, տանջվում ենք

Լավ էսքանը պետք չէր, թո՛ղ

Սենց գնա, մի քիչէ շունչ քաշի լսողը,վոշըմ"
CKK,Goodbye California,"
[Album Intro]

Dear California

Wenn du das hörst sind vielleicht schon Drei Jahre vergangen

Vielleicht aber auch nur Drei Monate

Vielleicht bist du schon Mutter, Vielleicht hast du aber auch nie gefunden was du gesucht hast

Doch was auch immer du grad bist, vergiss nicht du bist genug

Ich wünschte mit oft ich hätte mir selbst das gleiche sagen können, damals als du noch da warst

Ich weiß es ist nicht einfach jemanden zu Lieben der sich nicht selbst liebt, doch die Wahl hattest du

Irgendwann wirst du verstehen wie viel Wahl im Lieben ist und wie viel es bedeutet jemanden in seinem Chaos noch zu sehen

Du meintest immer wir wären uns ähnlich Calli, zu ähnlich aber heute kennst du mich nicht und ich dich nicht

Du wirst fallen und erreichen, Lieben und verlieren und zu einer anderen Version von dir werden

Ich freue mich auf was aus dir wird und wünsche die aus tiefstem Herzen das du Frieden mit deinem Chaos findest aber auch dein California los lässt

Du Stirbst und Lebst hier zwar für immer, doch trotzdem frag ich mich am Ende ob du nie Existiert hast und ich so sehr wollte das du echt bist, vielleicht werde ich es eines Tages wissen

Bis dahin

Goodbye California"
Mi Qani Hogi,Chanapar,"
[Intro]

Մի Քանի Հոգի


[Verse 1: Ֆելո (3.33)]

Քեզ տանող այս ճանապարհը ու՞ր կհասցնի

Երևի դրա մասին նա մի օր կհարցնի

Ի՞նչա լինելու վերջում, փիղ ես, թե մրջյուն

Ու՞մ ես ճանաչում, ի՞նչա հնչում քո ականջում

Ճանապարհը թող տանի

Գրպանիցդ մի քիչ փող հանի

Թող քամին էլ հողմը չհանի

Անցնի մշուշը շատ շուտ

Ամպերն էլ հեռանան

Իմ բառերն էլ հերթական

Թող դառնան քեզ հենարան

Ու տարան քեզ, ինձ, մեզ.. թևերի վրա սպիտակ, պինդ, մեծ

Ու տարան պահեցին.. պահեցին հետ չեն տալու

Մի տեղ որտեղից էլ հաստատ հետ չես գալու

Գլխարկդ մի հանի շոգին, կուշաթափվես շոգից

Քո համար էկել են Մի Քանի Հոգի

Էկել են, քիչ չեն ու մնալու են շատ երկար

Նրանք հաստատ ունեն քեզ տալու դեռ շատ երգեր


[Pre-Hook: Ֆելո (3.33)]

Ճանապարհը թող տանի

Գրպանիցդ մի քիչ փող հանի

Թող քամին էլ հողմը չհանի

Անցնի մշուշը շատ շուտ

Ամպերն էլ հեռանան

Իմ բառերն էլ հերթական

Թող դառնան քեզ հենարան

Ճանապարհը թող տանի

Գրպանիցդ մի քիչ փող հանի

Թող քամին էլ հողմը չհանի

Անցնի մշուշը շատ շուտ

Ամպերն էլ հեռանան

Իմ բառերն էլ հերթական

Թող դառնան քեզ հենարան
"
Misho,Sagh Menak Uzumen,"
Դու փորձում ես ման գալ կորցրածը ինադու

Գիտես բայց թանկ ա վստահելը ու անդուր

Որտեւ խանգարելու էլ ա

Կասկածում ապրելը հենց էդ ա, խառնվել ա


Ով սիրեց - ատելա հետո, չեմէ մանրանում

Հեքիաթից հելա՜ , արդեն էլ չեմէ զայրանում

Զարդարվում են , հա՜, բայց արդեն չենէ զարգանում․․․


Ինձ մարդիկ տհա՜ճ են, որտեւ նենց եմ ձանձրանում

Մեջը փուչ են, լո՜ւրջ եմ խորացէ վաշէ ով ովա


Բայց սկզբից ծանոթացել եմ ի՜մ հետ

Հետո նոր արդեն մտա սաղի մեջ

Բայց մո՜ւթ ու մառախուղ էր

Սաղ ուզում են սա՜ղ

Բայց իրարից արդեն վախում են

Հեռանում են

Ո՞ւմ են համէ հետաքրքրում

Մենակ ուզում են

Ու չենէ վաշէ հետաքրքրվում կյանքում էս ուր են ․․․


Հա՜ ու տառապում են

Հա՜ ու թաքցնում են

Հա՜ ու հարցնում են

Որ էլի քեզ չլսեն

""Հանգստաց"" - կասի էդ քիչ ա

Ֆռա՜ց, ոնցոր կարիճը վնա՜ս կտա

Ու մինչեւ գիտակցես ասածս ինչ ա
"
Mi Qani Hogi,Es Pahin,"
[Verse 1: Ֆելո (3.33)]

Մեզ թվումա, որ մեզ թվումա

Որ մեկը մեզ հետևումա, մեկը մեր հետևումա

Մեր մտքերը գողանումա, տանում

Ես լավանում եմ, դու՝ վատանում

Մենք որոշում ենք, հետո փոշմանում

Ասում ենք երկար ու երկար չենք անում

Ու եթե մի 10 հոգի էս պահին ներս գային

Լավ կլիներ մեր ռիթմերը զգային

Էս պահին, տես գահին

Մեջը կորած ասեղ, եթե գտնես քեզ պահի

Մատդ ծակի կասես, հանրագիտարանը բաց

Ու «Ա» տառից սկսի էս պահին

Ինչ կա շատ, հավասար կիսի

Անցնում էր լիմուզինը, դե սպանի

Մի գնդակով 2 ճագար չես սպանի

Ու եթե հոգի կա օդում մի քանի

Ուրեմն Էս պահին արթնացի մի քնի


[Hook: Ռոլանդ (Ռեինկարնացիա)]

Էս պահին չեմ ուզում էլ նայեմ ժամին

Ինձ թողեք մենակ ես սիրում եմ քամին

Ու ոչ մեկ չգիտի, որ քամին գույն ունի

Ու նայում է հեռվից էս պահին

Էս պահին չեմ ուզում էլ նայեմ ժամին

Ինձ թողեք մենակ ես սիրում եմ քամին

Ու ոչ մեկ չգիտի, որ քամին գույն ունի

Ու նայում է հեռվից էս պահին
"
Misho,M.I.Sh.O.-N Ed Hapavuma,"
[Տուն 1]

Barevy Astcunna, hajoxy satanunna

Hajoxa goh em tuyna stacvum qo mot Mish jan

Gidem sirtd lena du ches hishachar, charahish kam

Gjvel em Njdeh em, zinvor em hertov gravum bajanum em

Bari kendani uxxaki lsi, meke lsi chkpnes indz es dajananum em

Jarita varum em, varacy darna isk es dary sirum em

Ytenc kariqa, kesy shat kariq ka, ktenas kam tenum es

Vor very kenum es, mite qez henum es, vor chngnes chnshumd es em gervum es

Asa brat jan umes lsum indznic heto? Du mtaci, isk indz mihat mohito


[Կրկներգ]

Misho, Mishon ed hapavuma, ynenc anuna vory kataruma

Մ-ն еd masivci

Ի-ն munat hnchyuna

Շ-ն sshumem

Ո-ն vor voraks shnchum en

Misho, Mishon ed hapavuma, ynеnc anuna vory kataruma

Մ-ն ed masivci

Ի-ն munat hnchyuna

Շ-ն sshumem

Ո-ն vor voraks shnchum en


[Տուն 2]

Misho, Misho hetis rusy asuma я хочу тебя ещё

Inch shoqa, shoqa ed indznica krak em, krakem beranov u tshov

Havata cavota, toxuma xory spin, ey Natasha zartni, Uni spin targmani

Ingt hame chdzandzranas, uxexid poxaren ktrtac ananas

U siropa, du karq chunes, sax im mota

Вообще qanisina anter samalyotd gna es hogna qezanic, mezanic du inchqane sexot u spanox hota

Ancanq es teman gexecik, xmichqei uzel bereciq?

Achqers pak kartum em, crumem qez, bayc mejd sax hartum em
"
Mi Qani Hogi,Toxer,"
[Verse 1: Ֆելո]

Էրեգ սկիզբն էր, վաղը՝ վերջն ա մոտենում:

Ցերեկն ինձ բեր ծիծաղ, որ թաքնված ա խոտերում:

Ոչինչ չկար քո դերում, մնացիր նոթերում:

Էպոսները հեռանում են, հեքիաթներն են մոտենում:

Քիչ ըլնի, շատ չլնի, շախմատ խաղաս մատ չլնի:

Շատ մոտ խաղաս չվառվի, արևից, որ շատ կարմիր գույն ունի:

Նամանավանդ էս ժամին, նման ա նա խուժանի, որ չի ուզում ուշ անի:

Ամեն ինչ կա ստեղ, մենք ռաստա, դա փաստ ա

Տուր բաս տամ, կամ պաս տամ

Մեր ազգը սպասում ա նպաստ գա

Մեկն էլ գոռում էր ""ասեք թող պապաս գա""

Մեկն էլ լռում էր, գիտեր որ դա գովազդ ա

Կիսատ մնաց, քնած, կիսատ գնացք գնաց

Աշխարհն էլ տաքացել ա, ու կանգնել ա քրտնած

Էրեգ էլ սկիզբն էր, վաղն էլ վերջն ա մոտենում

Ցերեկն ինձ բեր ծիծաղ, որ թաքնված ա խոտերում:


[Chorus: Ավո]

Ցերեկն ինձ բեր ծիծաղ, որ թաքնված ա խոտերում:

Գիշերն ինձ տար թաքցրա մութ քո երկնքում:

Մտքեր կիսա-արված կիսատ թողած այս տողերում:

Ու նոտաներ՝ անվերջ հնչող, ճախրող օդերում:

Ցերեկն ինձ բեր ծիծաղ, որ թաքնված ա խոտերում:

Գիշերն ինձ տար թաքցրա մութ քո երկնքում:

Մտքեր կիսա-արված կիսատ թողած այս տողերում:

Ու նոտաներ՝ անվերջ հնչող, ճախրող օդերում:
"
JFK379,Day ’n night,"
[Pre-Hook]

Same day, es dreht sich wieder mal AllesDa für dich, wenn du wieder mal done bistSag ein Wort und ich steh vor deiner Tür Baby



Nur bei dir weil ich deine Liebe spür Baby




[Hook]

Day n’ night wir sind wieder mal in love ja

Ain't polite, kipp die Mischen und die Shots ja

Keep it up, pay attention nur für Gott ja

Stand by me nur für diese eine Nacht ja


Day n’ night wir sind wieder mal in love ja

Ain't polite, kipp die Mischen und die Shots ja

Keep it up, pay attention nur für Gott ja

Stand by me nur für diese eine Nacht ja


[Part 1]

Deine Love ist alles was ich will Baby

Ein Shot und ich bin wieder mal tilt Baby

Sag was du liebst und ich besorgs dir

Du hast es verdient darum mach ich die Records hier

In deinen full green Eyes spiegelt sich die Nacht ja

Und ich weiß, dass ich für dich Alles mach ja

Für mein Glück brauche ich nicht viel

Und du bist der erste Weg zu diesem Ziel
"
Misho,Tra Una Follia E L’Altra,"
[Intro]

2005, la rinascita di Misho, se...


[Rit.] (x2)

Tra una follia e l'altra

Scrivo rime sopra al muro e non sopra la carta

Lo schema adesso salta

Non voglio avere più segreti con nessuno

Nemmeno col mio vicino

Sono così e così perciò cammino


[Strofa 1]

Se sono negativo è perché da un anno non respiro

Poi la mia rotta non cambia giro

Per questo mi vedi sempre in tiro

Tra dimensioni, pochi alti, molti bassi

Sento lo stomaco trasformarsi in un sacco pieno di sassi

La gola è secca, l'acqua non rinfresca

Giro una canna di 3 grammi, la fumo ma non mi basta

Nemmeno una pera di eroina in endovena può calmarmi

Se assumo anfetamina poi non puoi fermarmi

Meglio se non mi drogo

Meglio se trovo un modo diverso per dare più spazio allo sfogo

Ok, ci provo, non garantisco nulla

Per me la vita è bella come quella di Benigni

Cerco di alleggerirla

Rido più spesso, diminuisco il peso addosso che porto

Spalanco gli occhi, prendo la sabbia

Ti centro in pieno nell'occhio

Metto una bomba sotto il culo di ogni stronzo che passa

Schiaccio il pulsante rosso e rido mentre lo guardo in faccia
"
Misho,​introvert (call me crazy),"
[Intro: Sebu]

Call me crazy


[Chorus: Sebu]

Call me crazy

My feet move fast

My heart beat slow

Call me crazy

But my mind is always on the go


[Verse 1: Misho]

Ինձ ձգում են պրոբլեմները

Իրանց հետ շփումը թող ցույց տա իմ դերը

Օգնում են երգերը

Ու նրանք, որ՝ սրտումս գտան իրանց տեղը;

Ու մեկա  անտեր ենք, համաձա՞յն չես

Արի դէ մուննաթ գանք ու տենց լիքը մարդ կա

Էն գիծը հատել ենք ,ուր՝ վնաս չենք

Ընտրել եմ ,կրոնս ինքնահավատքն ա

Գիտե՞ս ամեն բառը համ թույն ա, համ դեղ

Ու թուքը մեկի ՝ կարա մյուսի արցունքը դառնա

Մենքէ ման ենք գալիս նենց մի տէ

Ուր՝ մեր սխալները վրեքս էլ չանդրադառնան

Ապէ մի ասա՝ ""որովհետև""

Էտ բառն ապացույց ա, որ մենք իրար չհասկացանք

Տենց խոսում եմ ես ինքս իմ հետ

Թվում ա երկուսսէ հանգստցանք
"
