Artist,Song,Lyrics,Translated_Lyrics
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԻՄ ՓՈՔՐԻԿ ԸՆԿԵՐ,"
	Իմ փոքրիկ ընկեր երազկոտ ընկեր

	Ուր ես գնում 

	Եվ ոտքերը քո քո ոտքերը քեզ

	Ուր են տանում 

	Միթե չեն հոգնել միթե չեն թուլացել

	Քայլելուց

	Եվ աչքերը քո միթե չեն փակվում

	Անքուն մնալուց

	 

	Աստղազարդ է երկինքը շենքերից վերև

	Եվ ես կքայլեմ դեռ մինչև ուշ գիշեր

	 

	Փողոցում հիմա բացի շներից

	Ոչ ոք չկա

	Ինչ ես կորցրել դատարկ քաղաքում

	Փոքրիկ տղա 

	Ինչ ես կորցրել ու ինչ ես փնտրում

	Այս կողմերում

	Իմ փոքրիկ ընկեր դու շրջում ես դեռ 

	Իմ երգերում

	 

	Աստղազարդ է երկինքը շենքերից վերև

	Եվ ես կքայլեմ դեռ մինչև ուշ գիշեր

	 

	Իմ ընկեր միայնակ ու փոքրիկ ընկեր

	Տես խամրել են աստղերը գիշերն ու քո սերը 

	Կանցնեն շատ շուտով կգան ուրիշ օրեր

	Հոգսերի ու տխուր մտքերի գիշերներ

	 

	Կհիշես դու արդյոք այս գիշերը

	Գիշերը աստղերը և փոքրիկ քո սերը

	Գիշերը աստղերը և փոքրիկ քո սերը

	 

	Աստղազարդ այն երկինքը ու փոքրիկ այն տղան

	Ինձանից հեռացել են և արդեն էլ չկան
","My little friend dreamy friend

Where are you going

And the feet your feet you

Where do they take?

Aren't they tired?

Walking

And your eyes don't close

From sleeping



Stars of heaven above buildings

And I'll walk still until late at night



On the street now except dogs

There is no one

What have you lost in an empty town

Little boy

What have you lost and what are you looking for?

On these sides

My little friend you're going around yet

In my songs



Stars of heaven above buildings

And I'll walk still until late at night



My friend lonely and little friend

See the stars of the night and your love

Will go very soon to other days

Nights of worries and sad thoughts



Will you remember you at this night

The stars and little love at night

The stars and little love at night



Star-shaped heavens and little boy

Have left me and there are no already"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,"ԹՈՒՅԼ ՏՈՒՐ, ՍԻՐԵԼԻՍ, ԻՋՆԵԼ ՓՈՂՈՑ","
Սիրելի ընկերոջս Հասմիկ Մելիքյանին

	Թույլ տուր սիրելիս իջնել փողոց

	Հենց էսպես առանց անձրևանոց 

	Կատաղած անձրևը սառն անձրևը

	Մարդկանցից մաքրել է փողոցները

	Փողոցից մաքրել է կեղտն ու փոշին

	 

	Իսկ մարդիկ փակվել են տներում

	Իրենց փայփայած օջախներում

	Մարդիկ տես ուտում են հետո կուշտ գխտում են

	Հաստաոռ կանայք տես բամբասում են

	Տելեվիզորով դեռ չի սկսվել կինոն

	 

	Դիմացի պատուհանից մի կին

	Վախեցած նայում է լվացքին

	Իսկ նրա ճաղատ ու գունատ մարդը

	Կարծես թե ուրախ է ու զվարթ

	Անձրևը լվացել է նրա Ժիգուլին

	 

	Թույլ տուր սիրունիկս իջնել փողոց

	Առանց անձրևանոց

	Քայլել անձրևի տակ հենց էսպես աննպատակ

	Աշնան վերջին վերջին անձրևի տակ

	Վազել մտնել ուղիղ դպրոցի բակ

	 

	Այնտեղ բոլոր իմ ընկերներն են

	Այնտեղ չունեմ թշնամիներ

	Այնտեղ ամեն ինչ այնքան պարզ է

	Այնտեղ չկան կեղծ ժպիտներ

	 

	Այնտեղ ընկերդ չի լքի

	Երբ քեզ պատժել են անտեղի

	Այնտեղ կեղծիքը չի անցնի

	Եվ նույնիսկ սերը իսկական է

	Եվ իսկական է մարդկությունը

	Որը հիմա շատ հազվագույտ հիվանդություն է

	 

	Որտեղ այդ ինչ կռվում կորան

	Իմ ընկերները իսկական

	Ինչ ահավոր բանտարկություն է

	Ընտանեկան երջանկությունը

	 

	Թույլ տուր սիրելիս իջնել փողոց

	Հենց էսպես առանց անձրևանոց 

	Կատաղած անձրևը սառն անձրևը

	Մարդկանցից մաքրել է փողոցները

	Փողոցից մաքրել է կեղտն ու փոշին
","Dear friend Hasmik Melikyan

Allow my darling down to the street

Just because without a raincoat

The rained rain cold rain

People have cleared the streets

Cleaned the dirt and dust from the street



And people have been closed in homes

In the hearths of their cherished

People see eaten after a fabrication

Fair women see gossip

Cinemon has not started yet with televisor



A woman in front of the window

Frightened looking at the laundry

And his bald and pale man

Looks like happy and cheerful

The rain washed her jiguli



Allow my beautiful to get down to the street

Without raincoat

Walk in the rain just that is aimless

In the last rainfall of the fall

Run to enter a straight school yard



There all my friends are

I don't have enemies there

Everything there is so simple

There are no fake smiles there



Your friend will not leave

When you were punished inappropriate

There won't go out there

And even love is real

And humanity is true

Which is a very rare disease now



Where that battle is lost

My friends are real

What awful imprisonment is

Family happiness



Allow my darling down to the street

Just because without a raincoat

The rained rain cold rain

People have cleared the streets

Cleaned the dirt and dust from the street"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ՓՈՂՈՑԱՅԻՆ ԱՂՋԻԿ,"
	Մաքուր ու պարզ այս աշխարհում

	Մենք մաքուր չմնացինք

	Տես ես դարձել եմ հարբեցող

	Իսկ դու փողոցային աղջիկ

	 

	Փողոցային աղջիկ իմ սեր

	Այս երգը քեզ եմ նվիրում

	Ինչպես անխախտ սիրո երդում

	Սա քեզ համար եմ ես երգում

	 

	Երեկոյան այգում

	Կհավաքվեն կհավաքվեն զույգեր

	Նվագախումբը ծեր կնվագի վալսեր

	Եվ կպարի աշնան թափվող տերևների հետ միասին

	 

	                  Մենք վերջին անգամ

	 

	Կհեռանանք կհեռանանք այգուց

	         Աշնան հետ միասին մենք կթողնենք այգին

	                  Եվ մեր քայլերը կլսվեն

	                           Հեռու ու խուլ նրբանցքներում

	 

	Հեռու ու խուլ նրբանցքներում

	Ես կորցրի քեզ սիրելիս

	Ես կորցրի աշնան այգին

	Եվ վալսը հին դարձավ հեռու հիշողություն

	 

	Փողոցային աղջիկ իմ սեր

	Այս երգը քեզ եմ նվիրում

	Ինչպես անխախտ սիրո երդում

	Սա քեզ համար եմ ես երգում

	 

	Երեկոյան այգում

	Կհավաքվեն կհավաքվեն զույգեր

	Նվագախումբը ծեր կնվագի վալսեր

	Եվ կպարի աշնան թափվող տերևների հետ միասին

	 

	Կուզենայի տեսնել քո դեմքը

	Տեսնել դեմքը քո նորից

	Մի անգամ էլ համբուրել քեզ

	Ու հեռանալ այս աշխարհից

	 

	Փողոցային աղջիկ իմ սեր 

	Այս երգը քեզ եմ նվիրում

	Ինչպես անխախտ սիրո երդում

	Սա քեզ համար եմ ես երգում

	 

	Երեկոյան այգում

	         Կհավաքվեն զույգեր

	                  Եվ նվագախումբը ծեր

	                           Կնվագի վալսեր
","Clean and simple in this world

We did not remain clean

See I have become a drunkard

And you street girl



Street girl my love

This song gives you you

How an oath of the sweetheart

This is you sing for you



In the garden in the evening

Couples will gather

The orchestra will ran old

And he will draw together with the fallen leaves of the fall



We last



We will leave you will leave the park

With the fall we will leave the park

And our steps will be heard

Away and deaf allows



Away and deaf allows

I lost you my dear

I lost the autumn garden

And Waltz became an old memory



Street girl my love

This song gives you you

How an oath of the sweetheart

This is you sing for you



In the garden in the evening

Couples will gather

The orchestra will ran old

And he will draw together with the fallen leaves of the fall



I would like to see your face

See the face you again

Once to kiss you

And leave this world



Street girl my love

This song gives you you

How an oath of the sweetheart

This is you sing for you



In the garden in the evening

Couples will gather

And the orchestra is old

Walks will play"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,"Օ՜, ՍԱ ԻՄ ՀԻՆ ՓՈՂՈՑՆ Է","
	Օ սա իմ հին փողոցն է 

	Ուր ունեի ես ընկերներ

	Այստեղ կապույտ իմ մանկությունն է

	Բաց երկնքում աղավնիներ

	 

	Այ հենց էստեղ մեր բակն էր 

	Ուր նոր շենքեր են բարձրացել

	Իմ ընկերներն արդեն փոխվել են

	Նրանց դժվար է ճանաչել

	 

	Փոշոտ ու մութ ձեղնահարկից

	Մենք մեր զենքերն էինք հանում

	Երբ հարևան թաղերի հետ

	Մենք կռիվներ էինք անում

	 

	Փոշոտ ու մութ ձեղնահարկից

	Մի օր տղերքը ցրվեցին

	Բոլորովին ուրիշ կռվի

	Նրանք հանկարծ պատրաստվեցին

	 

	Ոմանք իհարկե փոխվեցին

	Ոմանք իհարկե դիմացան

	Ոմանք իհարկե սողացին

	Լավագույններն անհետ կորան

	 

	Հիմա նրանք արդեն չկան

	Իմ ընկերները իսկական

	Գուցե նրանք ինձ մոռացան

	Ինձ մոռացան ու հեռացան

	 

	Օ սա իմ հին փողոցն է 

	Ուր ունեի մի քնքուշ սեր

	Բայց նա վաղուց ամուսնացել է

	Եվ ունի շատ երեխաներ

	 

	Երեկոյան մթության մեջ

	Մեր փողոցի փոքրիկ այգում

	Ես խոստումներ էի տալիս

	Ու համբույրներ էի պոկում

	 

	Գաղտնիքը այդ բակը գիտեր

	Գաղտնիքը այդ պիտի բացվեր

	Քո մայրը վաղ թե ուշ մի օր

	Մեր տանը պիտի հայտնվեր

	 

	Այն ժամանակ քեզ սիրելիս 

	Շատերն էին սիրահարվում

	Քո պատճառով իմ սիրելի

	Կռիվներ շատ էին լինում

	 

	Դրանց մասին քնքուշ իմ սեր

	Դու նույնիսկ չես էլ իմացել

	Քո պատճառով սարքած կռվում

	Ես մի ատամ եմ կորցրել

	 

	Այ հենց էստեղ մեր բակն էր 

	Բակը ուներ իր գաղտնիքներն

	Այստեղ էր միշտ մեր թաղայինը

	Ղուշբաս Անդոն և ուրիշներ

	 

	Թե լույսի մարդը հայտնվեր

	Այդ լուրն իսկույն կտարածվեր

	Եվ ով որ լույս էր գողանում

	Իր դուռը պետք է պինդ փակեր

	 

	Բակում կային անվերջ վեճեր

	Բակում կային հաշտություններ

	Բակում կային կասկածելի

	Դեռ չստուգված բամբասանքներ

	 

	Բակը ուներ ծիծաղելի

	Ու տարօրինակ պատմություններ

	Եթե դրանք ես թվարկեմ

	Կարող է երգը երկարել

	 

	Թե այս երգից դուք ձանձրանաք

	Ես նոր երգեր կհորինեմ

	Եվ իմ կողքին առաջվա պես

	Իմ ընկերները կլինեն

	 

	Իմ ընկերները մանկության

	Իմ ընկերները իսկական

	Առաջվա պես ինձ մոտ կգան

	Առաջվա պես ինձ մոտ կգան
","Oh this is my old street

Where did I have friends?

Here is blue my childhood

The open sky pigeons



It was our yard here

Where new buildings have risen

My friends have already changed

They are hard to recognize



From dusty and dark attic

We were taking our weapons off

When with neighboring distribs

We were fighting



From dusty and dark attic

One day the guys scattered

A completely different fight

They were suddenly prepared



Some of course changed

Some of course turn

Some of course crawl

The best are the disappointed



Now they don't have already

My friends are real

Maybe they forgot me

I was forgotten and left



Oh this is my old street

Where I had a tender love

But he has long been married

And has many children



In the dark in the evening

In the small park of our street

I made promises

And I snatched kisses



The secret knew that yard

The secret would have been opened

Your mother sooner or later one day

Would have been to be in our house



Then my dear

Many people fall in love

My dear because of you

There were lots of fights



Tender my love about them

You didn't even know even

Fighting because of you

I have lost a tooth



It was our yard here

The yard had its own secrets

HERE WAS ALL OUT OF OUR MINISTRY

Ghushbas Ando and others



Or the man of the light appeared

That news would spread that news immediately

And who was stealing a light

Should his door be solid



There were endless disputes in the yard

There were reconciliation in the yard

There were suspicious in the yard

Still unchecked gossip



The yard had funny

And odd stories

If I am listing them

Can the song be driven?



Or do you get bored with this song?

I will give new songs

And like my next to me

My friends will be



My friends of childhood

My friends are real

Like myself come to me

Like myself come to me"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ՀԻՆ ԴԱՇՆԱՄՈՒՐԸ,"
	Հին դաշնամուրը լռում է այսօր

	Հին դաշնամուրը էլ չի նվագում

	Հանգել են լույսերը հյուրասենյակում

	Շարժվում են ստվերները շարժվում են շարժվում

	 

	Եվ դաշնամուրը լքված անկյունում

	Ինքն իրեն հետ ասես միտք է անում

	Գուցե հիշել է այն հին մեղեդին

	Այն տոնական ու հպարտ վալսը հին

	 

	Վալսի հին մոռացված

	Հնչյունները կրկին

	Պտտվում ու պարում են

	Դատարկ սենյակում

	 

	Հին դաշնամուրը հոգնել է արդեն

	Հին դաշնամուրը էլ չի նվագում

	Պարում են ստվերները դատարկ սենյակում

	Եվ հին դաշնամուրը երազ է տեսնում

	 

	Տեսնում է պարող սիրահար զույգերին

	Ջահել և ուրախ իր տանտերերին

	Հյուրասենյակը լցվում է լույսով

	Եվ երջանիկ ու ուրախ ձայներով

	 

	Վալսի հին մոռացված

	Հնչյունները կրկին

	Պտտվում ու պարում են

	Դատարկ սենյակում

	 

	Հին դաշնամուրը լռում է այսօր

	Հին դաշնամուրը էլ չի նվագում

	Դաշնամուրին ոչ ոք չի մոտենում

	Նա անպետք իր է արդեն սենյակում

	 

	Եվ մի խոնավ ու տխուր առավոտ

	Երբ դեռ քնած էր քաղաքն անձրևոտ

	Հին դաշնամուրը փողոց են հանում

	Հին դաշնամուրն էլ չի նվագում

	 

	Վալսի հին մոռացված

	Հնչյուններն են լսվում

	Եվ աշնան քամու հետ

	Փողոցով հեռանում
","The old piano is silent today

The old piano doesn't play either

Have resulted in lights in the living room

Moving Shadows move moving



And the piano in an abandoned corner

It's like a mind with himself

Maybe remember the old melody

The festive and proud waltz old



Waltsey's old forgotten

Sounds again

They spin and dance

In an empty room



The old piano is tired of already

The old piano doesn't play either

Dance shadows in an empty room

And the old piano sees a dream



Sees dancing lover couples

Torch and happy to his landlords

The living room is filled with light

And with happy and happy voices



Waltsey's old forgotten

Sounds again

They spin and dance

In an empty room



The old piano is silent today

The old piano doesn't play either

No one is approaching the piano

He's useless already in the room



And a damp and sad morning

When was still sleeping the city rainy

The old piano removes the street

The old piano doesn't play either



Waltsey's old forgotten

The sounds are heard

And with the wind of autumn

The street leaves"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,"ԲԱՐԻ ԼՈՒՍ, ՏԻԿԻՆ ԱՐՈՒՍ","
Երախտագիտությամբ

Ուստա Մարտիրոսին և Սիմա Սարատիկյանին

	Բարի լուս տիկին Արուս 

	Քո լվացքը չորացել է

	Հայացքի մեջ քո անհույս

	Արցունքներդ քարացել են

	 

	Խոհանոցդ մասմաքուր

	Ամաններդ լվացված են

	Մեր համովհոտով մորքուր

	Տված հացդ օրհնված է

	 

	Եվ հիմա նստած մենակ

	Դու հիշում ես քո անցյալը

	Եվ մատներդ շարունակ

	Փորփրում են քո ձավարը

	 

	Մարդը քո վարպետ Արտաշը

	Իր հոգին Աստծուն տվեց

	Նա թեև վարքով անտաշ էր

	Բայց խելոք էր ձեռներեց

	 

	Նա ուներ ոսկե ձեռքեր

	Ու շարեց պատերը տան

	Նա կապեց կտուրը ձեր

	Սարքեց դուռ ու պատուհան

	 

	Իսկ հետո երբ ծնվեցին

	Զավակներդ աննման

	Տունը քո լցվեց սիրով

	Ու շնչով երջանկության

	 

	Ամուսինդ լուռ ու մունջ էր

	Նա մռայլ էր չխոսկան

	Երբ խմում էր հայհոյում էր

	Հիշում մորդ անպայման

	 

	Ու թեև քեզ հայհոյում էր

	Բայց իրոք առանց թույնի

	Վաղեմի սովորություն էր

	Մարդ պետք է արտահայտվի

	 

	Եվ հիմա նա էլ չկա

	Տանդ սյունն ու հենարանը

	Մնացել ես մենմենակ

	Քո լքված ու դատարկ տանը

	 

	Զավակներդ չվեցին

	Ու թռան օտար ափեր

	Նույնիսկ չեն էլ մտածում

	Որ թողել են քեզ անտեր

	 

	Բարի լուս տիկին Արուս

	Քո լվացքը չորացել է 

	Հայացքի մեջ քո անհույս

	Արցունքներդ քարացել են

	 

	Խոհանոցդ մասմաքուր

	Ամաններդ լվացված են

	Մեր համովհոտով մորքուր

	Տված հացդ օրհնված է

	 

	Եվ հիմա նստած մենակ

	Դու հիշում ես քո անցյալը

	Իսկ մատներդ շարունակ

	Փորփրում են քո ձավարը
","With gratitude

Usta Martiros and Sima Saratyan

Good Little Mrs. Arus

Your laundry is dried

Your hopeless in the eyes

Tears have stone



Kitchen Measmond:

Have your dishes washed

Our cohort of murkur

Your bread is blessed



And now sitting alone

You remember your past

And keep your fingers

Are driving your grain



The man your master Artash

His Spirit gave God

He was the behavior of his behavior

But was cute entrepreneur



He had golden hands

And laid the walls of the house

He tied the roof of your

Made a door and window



And then when they were born

Drawker

The house was filled with love

And the breath of happiness



Spouse was a silent and leew

He was gentleness

When he drank was cursed

REMEMBER WITH ALL



And though you were cursed

But really without poison

Was an old habit

Man should express



And now he is not

Tand column and support

You left a mensor

Your abandoned and empty house



Your children did not

And flew to foreign shores

They don't even think too

That left you homeless



Good Little Mrs. Arus

Your laundry is dried

Your hopeless in the eyes

Tears have stone



Kitchen Measmond:

Have your dishes washed

Our cohort of murkur

Your bread is blessed



And now sitting alone

You remember your past

And keep your fingers

Are driving your grain"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԿԱՐՈՏ,"
	Եվ անձրևը ցուրտ փողոցների

	Խուլ նրբանցքներում կհեկեկա

	Եվ աշնան քամին անձրևի հետ

	Վերջին անգամ կընկերանա

	 

	Ու կարոտն իմ սրտում

	Մարող բոցի պես կդողդողա

	 

	Դու հեռացել ես ինձ մոռացել

	Ես քեզ կանչում եմ սիրելիս

	Բայց դու չկաս

	Վերադարձիր ինձ մոտ

	 

	Երգ

	Երգ երջանկության

	Երգ երջանկության

	Ու խենթ

	Ու խենթ սիրո մասին

	Դու վերադարձիր

	Քամու հետ աշնան

	Դու արի ինձ մոտ 

	Աշնան քամու հետ միասին

	 

	Եվ անձրևը իմ պատուհանին

	Լուռ ու միայնակ կհեկեկա

	Եվ աշնան քամու հետ միասին

	Գիշերվա մեջ կհեռանա

	 

	Ու կարոտն իմ սրտում

	Մարող բոցի պես կդողդողա
","And the rain on the cold streets

I would come to a deaf alley

And the wind wind with the rain

Last accomplished



And longing in my heart

Having a redogan like a fading flame



You left me forgot

I call you dear

But you don't

Return to me



Song

Song happiness

Song happiness

And crazy

And crazy about love

You return

With the wind in autumn

You come to me

Along with the wind of autumn



And the rain on my window

I would be silent and alone

And along with the wind of autumn

Will leave in the night



And longing in my heart

Having a redogan like a fading flame"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԱՇՈՒՆ,"
	Իմ այգում հիմա աշուն է

	Ես ու ծերացած իմ շունը

	Հոտոտում ենք աղբակույտը անցյալի

	 

	Շունս պոչն ուրախ շարժում է

	Աղբակույտից քաշումհանում է

	Հնացած իրեր որ պետք չեն ոչ ոքի

	 

	Դատարկ այգի ու մի խոնավ քամի

	Եվ ծխացող կույտեր տերևների

	Դատարկ այգի ու մի խոնավ քամի

	Ու ծխացող հուշերն իմ անցյալի

	 

	Քամին ցնորված ծերունին

	Շուռումուռ է տալիս աղբակույտը

	Եվ նստարանին քնած շրջմոլիկն արթնանում է

	 

	Ափսոսանք ու սեր ավելորդ հույսեր

	Հեռացող քայլեր իմ անցյալի

	Հուսահատ անձրև աղբակույտ անձև

	Հին իրեր որ պետք չեն ոչ ոքի

	 

	Մի մաշված կոշիկ որ չեն հագնի

	Մի անսեռ տիկնիկ առանց գլխի

	Մի սև հովանոց մի լուսանկար ու մի հայելի

	 

	Իմ այգում հիմա աշուն է

	Ես ու ծերացած իմ շունը

	Հոտոտում ենք աղբակույտը անցյալի

	 

	Շունս պոչն ուրախ շարժում է

	Աղբակույտից քաշումհանում է

	Հնացած իրեր որ պետք չեն ոչ ոքի
",
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ՀԱՆԳՉԻ ԼՌՈՒԹՅՈՒՆԸ,"
	Հանգչի լռությունը

	Եվ իջնի սպիտակ ձյուն

	Հեռվում կաղկանձի մի շուն

	Միայնակ ու տխուր

	Հույսերիս թափուր ձյուն 

	Հույսերիս թափուր ձյուն

	 

	Երազներ երազներ

	Փաթիլների նման

	Թափվեցիք դուք ներքև

	Ու գետնին չհասած հալվեցիք

	Դուք փայլող երազներ

	Դուք փայլող երազներ

	 

	Հիմա ուր ես իմ սեր 

	Հիմա ում ես սիրում

	Չէ որ ինձ էլ նույնպես

	Դու սիրել ես այդպես

	Գալարվել իմ գրկում

	Եվ տվել խոստումներ

	 

	Խոստումներ խոստումներ

	Փաթիլների նման 

	Թափվեցիք դուք ներքև

	Ու գետնին չհասած հալվեցիք

	Դուք փայլող խոստումներ

	Դուք փայլող խոստումներ

	 

	Հանգչի լռությունը

	Եվ իջնի սպիտակ ձյուն

	Հեռվում կաղկանձի մի շուն

	Միայնակ ու տխուր

	Երբ լռի կաղկանձը շան

	Հանդարտ իջնի ձյուն
","The silence of the rest

And get off white snow

A dog is left with a dog

Lonely and sad

My hopes for vacant snow

My hopes for vacant snow



Dreams dreams

Like flakes

You spilled you down

And melted to the ground

You shining dreams

You shining dreams



Now where are you my love

Who do you like now?

Isn't me too

You have loved so

Walking in my lap

And gave promises



Promises promises

Like flakes

You spilled you down

And melted to the ground

You shining promises

You shining promises



The silence of the rest

And get off white snow

A dog is left with a dog

Lonely and sad

When silent bakery dog

Calm down snow"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԵՐԵՎԱՆԻ ԳԻՇԵՐՆԵՐՈՒՄ,"
	Երևանի գիշերներում

	Լուսնի ափսեն է գլորվում

	Ու հեռավոր արվարձանում

	Արծաթե հետքն է իր թողնում

	 

	Երբ միայնակ եմ ես լինում

	Քայլերն այստեղ են ինձ բերում

	Ու անցյալիս լքված այգում

	Ես հուշերիս եմ հանդիպում

	 

	Իմ հուշերի անհատակ ջրհորում

	Քո խենթացնող կիսադեմն է լողում

	Ես խեղդվեցի էս կեղտոտ քաղաքում

	Ու չկա ազատում

	 

	Իմ հուշերի անհատակ ջրհորում

	Դու իմ անունն ես տալիս ու կանչում

	Ես խեղդվեցի էս կեղտոտ քաղաքում

	Ու չկա փրկություն

	 

	Իմ քնքուշ սևահեր

	Դու ինձ ում ես թողել

	Դու ինձ ում ես թողել

	Ինձ թողելհեռացել

	 

	Ասա դու ով ես որտեղից

	Ինչ ես այդպես լուռ հառաչում

	Ես հեռացել եմ ինձանից

	Եվ ինձ արդեն չեմ ճանաչում

	 

	Իսկ ինչ ես կորցրել այստեղ

	Ինչ ես փնտրում այս կողմերում

	Ես իմ անցյալն եմ կորցրել

	Երևանի գիշերներում

	 

	Քո հանգուցյալ տատիկի սենյակում

	Ուր մահճակալն էր անվերջ ճռճռում

	Գինու կիսատ շշերի արանքում

	Դու հավերժ սեր էիր ինձ խոստանում

	 

	Քո բոլշևիկ տատիկի սենյակում

	Ուր մահճակալն էր անվերջ կոտրվում

	Գինու կիսատ շշերի արանքում

	Դու հավերժ սեր էիր ինձ խոստանում

	 

	Իմ քնքուշ սևահեր

	Դու ինձ ում ես թողել

	Դու ինձ ում ես թողել

	Ինձ թողելհեռացել

	 

	Ես լուսնոտի պես արթնացել

	Ու տանիքներն եմ բարձրանում

	Ես իմ երազն եմ կորցրել

	Երևանի գիշերներում

	 

	Երևանի գիշերներում

	Լուսնի ափսեն է գլորվում

	Ու իմ կարմիր երգի վրա

	Արծաթե հետքն է իր թողնում

	 

	Ձայնապնակն ու այն հին մեղեդին

	Մենք կորցրինք առհավետ իմ անգին

	Մի օր փակվեց սենյակի դուռը հին 

	Երբ կոտրվեց տատիկիդ հայելին

	 

	Իմ քնքուշ սևահեր

	Դու ինձ ում ես թողել

	Դու ինձ ում ես թողել

	Ինձ թողել

	 

	Երևանի գիշերներում

	Լուսնի ափսեն է գլորվում
","In the nights of Yerevan

The moon plate is rolled

And in the distant suburbs

The silver trail is left to him



When I am single

Steps are here bring me

And in the past in the past

I meet my memoirs



My memories of bottomless well

Your crazy semant is swimming

I was drowned in this dirty city

And there is no release



My memories of bottomless well

You give my name and call

I was drowned in this dirty city

And there is no salvation



My tender brunette

You left me

You left me

Left me



Tell me who are you from?

What are you so silent?

I have left me

And I don't know me already



And what have you lost here?

What are you looking for on these sides

I have lost my past

In the nights of Yerevan



In your late grandmother's room

Where the bed was endless crunch

Between wine bottles between wine

You have been forever love me



In your Bolshevik grandmother's room

Where the bed was endlessly broken

Between wine bottles between wine

You have been forever love me



My tender brunette

You left me

You left me

Left me



I woke up like a moon

And I rise the roofs

I have lost my dream

In the nights of Yerevan



In the nights of Yerevan

The moon plate is rolled

And on my red song

The silver trail is left to him



The vowel and the old melody

We lost forgive my priceless

One day the room door was closed

When broke the mirror of the grandmother



My tender brunette

You left me

You left me

Left me



In the nights of Yerevan

The moon plate is rolled"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԻՄ ՓՈՔՐԻԿ ՔԱՂԱՔ,"
	Երգն իմ կարոտ է իմ մեջ արթնացած

	Երգն իմ թռչնակ է թևերը պարզած

	Որ պիտի թռչի հեռու

	Բայց պիտի վերադառնա միշտ քեզ մոտ

	 

	Երբ քեզնից հեռու հեռու եմ լինում

	Քո խորհրդավոր կարոտն է տանջում

	Իմ փոքրիկ քաղաք

	Դու քեզ մոտ ես կանչում

	 

	Երբ ես մենակ կամ տխուր եմ լինում

	Քեզ հետ վիճում եմ քեզնից խռովում

	Դու դառնում ես հոգատար

	Դու ասում ես մոռացիր ու ժպտա

	 

	Արևի շողերի մեջ արթնանում

	Արևի շողերի մեջ ծիծաղում

	Իմ փոքրիկ քաղաք 

	Դու քո կյանքն ես ապրում

	 

	Իմ բոլորբոլոր երգերը

	Իմ կարոտը և իմ սերը

	Քո քնքուշ գիշերներում են ծնվում

	Եվ առավոտներիդ մեջ են հանդարտ թևածում

	 

	Իմ քաղաք իմ փոքրիկ քաղաք

	Ես քո երգն եմ երգում

	 

	Երգն իմ թռչնակ է թևերը պարզած

	Որ պիտի թռչի հեռու

	Բայց պիտի վերադառնա միշտ քեզ մոտ
","The song is my missed in me awakened

The song is my bird out of the wings

That should fly away

But it should be back to you always



When I am far away from you

Your mysterious longing is torturing

My little town

You are calling you



When I am alone or sad

I am arguing with you trouble with you

You become caring

You say forget and smile



Wake up in the sunshine

Laughs in the sunshine

My little town

You live your life



All my songs

My longing and my love

Are born of your tender nights

And in your mornings are quietly



My City My Little City

I sing your song



The song is my bird out of the wings

That should fly away

But it should be back to you always"
ՌՈՒԲԵՆ ՀԱԽՎԵՐԴՅԱՆ,ԱՐՏԱԳԱՂԹ,"
	Իմ ընկերները հեռանում են

	Եվ այս էլ որերորդ անգամ

	Հրավիրել մեզ մոռանում են

	Հրաժեշտի վերջին օրվան

	 

	Իմ ընկերներն են հեռանում

	Այնպես ծածուկ այնպես թաքուն

	Ասես հանգուցյալի մոտից 

	Պահված գանձերն են գողանում

	 

	Իմ ընկերները հեռանում են

	Որ էլ երբեք էլ ետ չգան

	Նրանց դեմքերն անհետանում են

	Նրանց դեմքերն արդեն չկան

	 

	Նրանց ձայները դեռ հնչում են

	Մանկության վառ գույների մեջ

	Նրանք կարծես թե ինձ կանչում են

	Ճամփաների վրա անվերջ

	 

	Իմ ընկերները հեռանում են

	Ինչպես թռչունների երամ

	Ժամանակի հետ բթանում է

	Այն ցավը որ նրանք չկան

	 

	Այն ցավը որ այսպես եղել է

	Եվ լինելու է անպայման

	Որ հայրենիքը դա երազ է

	Պստիկ հատված տարածության
","My friends leave

And that's why it's more

Invite us to forget

FREE LATEST DAY



My friends are leaving

So secretly so secretly

As if from the deceased

Stored treasures are stealing



My friends leave

That never come back

Their faces disappear

Their faces are no longer already



Their voices are still sounding

In brighthood colors of childhood

They seem to call me

Endless on the ways



My friends leave

How to birds?

With time is dumbing

The pain that they are not



The pain that has been this this way

And it will definitely be

That the homeland is a dream

Pstik section of space"
